<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x00000192FAF9FCA0>
[-21.03375626  -5.91420364 -29.26160431]
[-21.03375626  -5.91420364 -29.26160431]
[-20.54149246  -6.05485153 -29.47257423]
[-20.54149246  -6.05485153 -29.47257423]
[-20.54149246  -6.05485153 -29.47257423]
[-20.54149246  -6.05485153 -29.47257423]
[-32.84809875  -5.77355957 -21.87763596]
[-32.84809875  -5.77355957 -21.87763596]
[-32.84809875  -5.77355957 -21.87763596]
[-32.98874664  -6.05485153 -21.80731201]
[-32.98874664  -6.05485153 -21.80731201]
[-32.98874664  -6.05485153 -21.80731201]
[-23.35443115  -6.47679138 -28.9099865 ]
[-23.35443115  -6.47679138 -28.9099865 ]
[-23.35443115  -6.47679138 -28.9099865 ]
[-22.58087158  -6.05485153 -28.83966255]
[-22.58087158  -6.05485153 -28.83966255]
[-22.58087158  -6.05485153 -28.83966255]
[-32.84809875  -5.77355957 -21.87763596]
[-31.37130737  -5.98452759 -22.86216736]
[-31.37130737  -5.98452759 -22.86216736]
[-31.37130737  -5.98452759 -22.86216736]
[-31.23066139  -5.63291168 -22.29957962]
[-21.03375626  -5.91420364 -29.26160431]
[-21.03375626  -5.91420364 -29.26160431]
[-23.35443115  -6.47679138 -28.9099865 ]
[-22.58087158  -6.05485153 -28.83966255]
[-22.58087158  -6.05485153 -28.83966255]
[-32.84809875  -5.77355957 -21.87763596]
[-32.84809875  -5.77355957 -21.87763596]
[-32.98874664  -6.05485153 -21.80731201]
[-32.98874664  -6.05485153 -21.80731201]
[-31.23066139  -5.63291168 -22.29957962]
[-21.03375626  -5.91420364 -29.26160431]
[-21.03375626  -5.91420364 -29.26160431]
[-21.03375626  -5.91420364 -29.26160431]
[-20.54149246  -6.05485153 -29.47257423]
[-20.54149246  -6.05485153 -29.47257423]
[-20.54149246  -6.05485153 -29.47257423]
[-32.84809875  -5.77355957 -21.87763596]
[-32.84809875  -5.77355957 -21.87763596]
[-32.84809875  -5.77355957 -21.87763596]
[-32.98874664  -6.05485153 -21.80731201]
[-32.98874664  -6.05485153 -21.80731201]
[-32.98874664  -6.05485153 -21.80731201]
[-23.35443115  -6.47679138 -28.9099865 ]
[-23.35443115  -6.47679138 -28.9099865 ]
[-23.35443115  -6.47679138 -28.9099865 ]
[-23.35443115  -6.47679138 -28.9099865 ]
[-22.58087158  -6.05485153 -28.83966255]
[-22.58087158  -6.05485153 -28.83966255]
[-22.58087158  -6.05485153 -28.83966255]
[-31.37130737  -5.98452759 -22.86216736]
[-31.37130737  -5.98452759 -22.86216736]
[-31.37130737  -5.98452759 -22.86216736]
[-31.23066139  -5.63291168 -22.29957962]
[-31.23066139  -5.63291168 -22.29957962]
[-21.03375626  -5.91420364 -29.26160431]
[-21.03375626  -5.91420364 -29.26160431]
[-23.35443115  -6.47679138 -28.9099865 ]
[-22.58087158  -6.05485153 -28.83966255]
[-22.58087158  -6.05485153 -28.83966255]
[-32.84809875  -5.77355957 -21.87763596]
[-32.98874664  -6.05485153 -21.80731201]
[-32.98874664  -6.05485153 -21.80731201]
[-32.98874664  -6.05485153 -21.80731201]
[-21.03375626  -5.91420364 -29.26160431]
[-21.03375626  -5.91420364 -29.26160431]
[-21.03375626  -5.91420364 -29.26160431]
[-20.54149246  -6.05485153 -29.47257423]
[-20.54149246  -6.05485153 -29.47257423]
