<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000020AC5853D10>
[-42.87350464 -44.88047791 -45.46315002]
[-42.93824768 -44.75099564 -45.20418549]
[-42.93824768 -44.75099564 -45.20418549]
[-43.00299072 -44.62151337 -45.13944244]
[-43.00299072 -44.62151337 -45.00996017]
[-43.06772995 -45.0746994  -45.52788925]
[-43.06772995 -45.0746994  -45.52788925]
[-43.13246918 -45.13944244 -45.59262848]
[-42.80876541 -44.81573486 -45.13944244]
[-43.39143372 -45.33366394 -45.59262848]
[-43.32669067 -44.88047791 -45.20418549]
[-43.45617676 -45.00996017 -45.52788925]
[-43.45617676 -44.94522095 -45.13944244]
[-43.26195145 -44.88047791 -45.26892471]
[-43.26195145 -44.88047791 -45.26892471]
[-43.39143372 -45.20418549 -45.52788925]
[-43.19721222 -44.88047791 -45.20418549]
[-42.93824768 -44.94522095 -45.39840698]
[-43.32669067 -45.13944244 -45.59262848]
[-43.45617676 -45.0746994  -45.78684998]
[-43.32669067 -45.00996017 -45.65737152]
[-43.00299072 -44.94522095 -45.39840698]
[-43.00299072 -44.94522095 -45.39840698]
[-42.87350464 -44.62151337 -45.13944244]
[-43.26195145 -44.88047791 -45.26892471]
[-42.93824768 -44.62151337 -44.81573486]
[-42.93824768 -44.94522095 -45.13944244]
[-42.93824768 -44.94522095 -45.13944244]
[-43.00299072 -45.0746994  -45.59262848]
[-43.00299072 -45.0746994  -45.59262848]
[-43.00299072 -45.00996017 -45.20418549]
[-43.39143372 -45.26892471 -45.46315002]
[-42.87350464 -44.68625641 -44.94522095]
[-42.87350464 -44.88047791 -45.46315002]
[-42.87350464 -44.88047791 -45.46315002]
[-42.93824768 -44.75099564 -45.20418549]
[-42.74402618 -44.62151337 -45.00996017]
[-43.00299072 -44.62151337 -45.13944244]
[-43.00299072 -44.62151337 -45.00996017]
[-43.06772995 -45.0746994  -45.52788925]
[-43.19721222 -45.13944244 -45.52788925]
[-43.00299072 -45.0746994  -45.46315002]
[-43.06772995 -45.0746994  -45.33366394]
[-43.39143372 -45.33366394 -45.59262848]
[-43.32669067 -44.88047791 -45.20418549]
[-43.45617676 -45.00996017 -45.52788925]
[-43.26195145 -44.88047791 -45.26892471]
[-43.26195145 -44.88047791 -45.26892471]
[-43.19721222 -44.88047791 -45.33366394]
[-43.39143372 -45.20418549 -45.52788925]
