<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000020AC5853D80>
[-47.72908401 -47.98804855 -47.85856628]
[-47.66434479 -48.11753082 -47.72908401]
[-47.66434479 -48.11753082 -47.72908401]
[-47.85856628 -48.44123459 -47.79382324]
[-48.50597382 -48.50597382 -48.37649536]
[-48.18227005 -48.11753082 -47.72908401]
[-47.21115494 -47.14641571 -47.40538025]
[-47.66434479 -48.11753082 -47.72908401]
[-47.79382324 -48.37649536 -48.31175232]
[-47.92330933 -48.57071686 -48.18227005]
[-46.56374359 -47.85856628 -47.40538025]
[-47.08167267 -48.11753082 -47.40538025]
[-46.82270813 -47.59960175 -47.34063721]
[-47.08167267 -47.47011948 -47.27589417]
[-47.47011948 -47.66434479 -47.47011948]
[-47.59960175 -47.27589417 -47.66434479]
[-47.27589417 -46.82270813 -47.34063721]
[-47.5348587  -47.01692963 -47.08167267]
[-46.88745117 -47.14641571 -47.14641571]
[-47.40538025 -47.72908401 -47.34063721]
[-47.5348587  -47.92330933 -47.79382324]
[-46.7579689  -47.59960175 -47.47011948]
[-46.49900436 -47.92330933 -47.34063721]
[-46.49900436 -47.79382324 -47.21115494]
[-46.04581451 -47.21115494 -46.69322968]
[-46.49900436 -47.14641571 -46.82270813]
[-46.7579689  -46.49900436 -46.62848663]
[-46.9521904  -46.62848663 -46.88745117]
[-46.9521904  -46.82270813 -46.24003983]
[-45.52788925 -46.04581451 -45.26892471]
[-45.78684998 -46.1753006  -45.91633606]
[-45.98107529 -46.04581451 -46.24003983]
[-45.78684998 -46.36952209 -46.24003983]
[-45.20418549 -46.82270813 -46.62848663]
[-44.75099564 -46.82270813 -46.49900436]
[-45.00996017 -46.1753006  -46.24003983]
[-45.13944244 -45.85159302 -45.72211075]
[-44.42729187 -44.81573486 -44.4920311 ]
[-45.00996017 -44.4920311  -44.68625641]
[-44.81573486 -44.03884506 -44.10358429]
[-43.90936279 -43.84461975 -43.58565521]
[-44.23307037 -44.75099564 -44.16832733]
[-42.87350464 -43.52091599 -43.45617676]
[-44.03884506 -44.23307037 -44.55677032]
[-44.68625641 -45.13944244 -44.94522095]
[-43.58565521 -44.62151337 -44.42729187]
[-42.6145401  -44.68625641 -44.55677032]
[-42.67928314 -44.4920311  -43.26195145]
[-42.29083633 -43.7151413  -43.32669067]
[-42.48506165 -43.77988052 -43.13246918]
[-43.45617676 -43.06772995 -43.13246918]
[-43.7151413  -42.48506165 -42.54980087]
[-41.90238953 -41.38446045 -41.06075668]
[-42.16135406 -41.57868576 -42.16135406]
[-40.93127441 -40.99601746 -41.06075668]
[-42.22609711 -42.87350464 -42.80876541]
[-43.06772995 -43.26195145 -43.45617676]
[-43.7151413  -44.23307037 -43.97410583]
[-43.00299072 -43.7151413  -43.90936279]
[-41.77291107 -43.77988052 -42.93824768]
[-42.4203186  -44.36254883 -42.93824768]
[-41.51394653 -42.67928314 -42.09661102]
[-41.44920349 -42.54980087 -41.8376503 ]
[-43.45617676 -43.06772995 -43.13246918]
[-43.39143372 -41.90238953 -42.22609711]
[-41.44920349 -41.06075668 -40.60757065]
[-42.16135406 -41.77291107 -41.96713257]
[-40.73705292 -40.99601746 -41.25498199]
[-41.38446045 -42.22609711 -42.09661102]
[-43.06772995 -43.26195145 -43.45617676]
[-42.93824768 -43.32669067 -42.87350464]
[-41.96713257 -42.74402618 -42.4203186 ]
[-41.70816803 -43.13246918 -42.87350464]
[-42.35557556 -44.36254883 -43.26195145]
[-41.06075668 -42.54980087 -41.12549591]
[-40.80179214 -41.64342499 -41.25498199]
[-41.64342499 -41.70816803 -40.86653137]
[-41.44920349 -40.86653137 -40.08964157]
[-41.90238953 -40.73705292 -41.06075668]
[-39.9601593  -39.63645172 -39.76593781]
[-41.44920349 -41.31972122 -41.12549591]
[-39.18326569 -39.37748718 -40.28386688]
[-38.79482269 -39.24800873 -38.98904419]
[-41.44920349 -41.96713257 -41.77291107]
[-40.1543808  -41.57868576 -40.28386688]
[-40.02490234 -41.31972122 -40.67230988]
[-40.41334534 -42.29083633 -41.51394653]
[-42.48506165 -44.23307037 -43.13246918]
[-40.67230988 -41.8376503  -40.80179214]
[-40.60757065 -41.06075668 -40.93127441]
[-40.1543808  -40.99601746 -39.44223022]
[-40.86653137 -40.47808838 -39.9601593 ]
[-39.89541626 -38.92430115 -38.66533661]
[-36.78784943 -35.88147354 -36.14043808]
[-39.70119476 -39.05378723 -40.34860611]
[-40.73705292 -41.19023895 -41.31972122]
[-38.14740753 -38.66533661 -38.66533661]
[-39.05378723 -39.89541626 -38.73007965]
[-40.28386688 -41.44920349 -40.73705292]
[-39.24800873 -40.47808838 -39.9601593 ]
[-39.05378723 -40.93127441 -40.60757065]
[-40.34860611 -42.4203186  -40.99601746]
[-42.48506165 -44.55677032 -43.7151413 ]
[-40.41334534 -41.57868576 -40.34860611]
[-38.34163284 -39.24800873 -37.95318604]
[-40.99601746 -41.31972122 -40.08964157]
[-40.73705292 -40.08964157 -39.83067703]
[-39.89541626 -39.11852646 -39.31275177]
[-38.21215057 -37.62948227 -37.75896454]
[-39.63645172 -38.92430115 -39.9601593 ]
[-39.50697327 -39.83067703 -39.83067703]
[-40.34860611 -41.12549591 -41.12549591]
[-40.47808838 -40.99601746 -40.1543808 ]
[-40.08964157 -41.31972122 -40.28386688]
[-40.21912384 -41.51394653 -41.25498199]
[-40.60757065 -41.90238953 -41.51394653]
[-41.64342499 -43.39143372 -42.87350464]
[-41.06075668 -43.39143372 -42.09661102]
[-39.83067703 -41.19023895 -40.08964157]
[-40.73705292 -41.31972122 -40.1543808 ]
[-41.57868576 -41.57868576 -40.41334534]
[-39.50697327 -38.85956192 -38.21215057]
[-39.57171249 -39.44223022 -38.47111511]
[-41.06075668 -40.21912384 -40.93127441]
[-39.63645172 -39.18326569 -40.02490234]
[-37.88844681 -38.40637207 -38.47111511]
[-39.57171249 -40.21912384 -39.31275177]
[-40.93127441 -42.0318718  -41.31972122]
[-39.50697327 -40.60757065 -39.50697327]
[-39.05378723 -40.28386688 -39.37748718]
[-39.57171249 -41.64342499 -40.1543808 ]
[-41.19023895 -43.58565521 -42.93824768]
[-40.34860611 -41.8376503  -40.08964157]
[-38.53585815 -39.89541626 -38.27689362]
[-39.70119476 -40.21912384 -39.05378723]
[-40.99601746 -40.80179214 -39.37748718]
[-40.28386688 -39.70119476 -38.34163284]
[-37.75896454 -37.24103546 -37.3057785 ]
[-39.89541626 -39.31275177 -39.9601593 ]
[-39.50697327 -39.83067703 -39.83067703]
[-38.53585815 -39.11852646 -38.98904419]
[-40.47808838 -41.12549591 -40.28386688]
[-40.41334534 -41.64342499 -40.86653137]
[-40.1543808  -41.70816803 -40.34860611]
[-38.73007965 -40.02490234 -39.31275177]
[-39.18326569 -40.80179214 -39.57171249]
[-41.64342499 -43.84461975 -43.32669067]
[-40.02490234 -41.70816803 -39.76593781]
[-37.75896454 -38.92430115 -37.11155319]
[-39.63645172 -40.86653137 -38.92430115]
[-40.67230988 -40.34860611 -40.28386688]
[-39.70119476 -38.92430115 -38.60059738]
[-38.53585815 -38.08267212 -37.56473923]
[-37.95318604 -36.98207092 -37.95318604]
[-41.12549591 -40.99601746 -41.06075668]
[-37.04681396 -37.43526077 -38.14740753]
[-38.08267212 -38.79482269 -38.27689362]
[-40.93127441 -41.8376503  -41.06075668]
[-39.83067703 -40.47808838 -40.28386688]
[-38.34163284 -39.31275177 -39.24800873]
[-38.66533661 -40.73705292 -39.50697327]
[-41.31972122 -43.39143372 -42.4203186 ]
[-41.44920349 -43.52091599 -42.0318718 ]
[-38.34163284 -39.50697327 -37.95318604]
[-39.24800873 -40.67230988 -38.73007965]
[-40.54283142 -40.73705292 -40.34860611]
[-40.60757065 -40.1543808  -40.02490234]
[-38.66533661 -37.82370377 -38.92430115]
[-38.98904419 -38.53585815 -38.79482269]
[-38.66533661 -37.37051773 -38.73007965]
[-39.31275177 -39.05378723 -39.24800873]
[-37.95318604 -38.27689362 -38.73007965]
[-39.89541626 -40.47808838 -40.02490234]
[-40.67230988 -41.64342499 -40.73705292]
[-39.57171249 -40.80179214 -39.76593781]
[-38.66533661 -40.73705292 -39.50697327]
[-40.86653137 -42.6145401  -41.70816803]
[-40.99601746 -43.58565521 -42.16135406]
[-38.40637207 -39.31275177 -37.62948227]
[-40.34860611 -41.12549591 -39.89541626]
[-41.06075668 -41.44920349 -40.1543808 ]
[-40.47808838 -39.70119476 -39.11852646]
[-37.5        -36.39940262 -36.33465958]
[-37.75896454 -37.24103546 -37.3057785 ]
[-39.89541626 -39.31275177 -39.9601593 ]
[-39.31275177 -39.83067703 -39.50697327]
[-35.10457993 -35.55776978 -35.42828751]
[-39.05378723 -39.89541626 -38.73007965]
[-41.06075668 -42.0318718  -41.19023895]
[-39.37748718 -40.41334534 -39.9601593 ]
[-37.95318604 -38.73007965 -39.05378723]
[-37.82370377 -40.08964157 -38.60059738]
[-41.90238953 -43.7151413  -43.06772995]
[-41.25498199 -43.13246918 -41.12549591]
[-38.53585815 -39.89541626 -38.27689362]
[-39.63645172 -40.86653137 -38.92430115]
[-40.47808838 -40.54283142 -40.28386688]
[-39.76593781 -39.24800873 -38.85956192]
[-38.53585815 -37.43526077 -37.95318604]
[-38.79482269 -38.47111511 -38.47111511]
[-40.21912384 -39.31275177 -40.67230988]
[-38.34163284 -39.11852646 -38.98904419]
[-38.47111511 -39.37748718 -38.40637207]
[-39.44223022 -40.34860611 -40.08964157]
[-39.70119476 -41.19023895 -39.9601593 ]
[-38.60059738 -39.24800873 -39.24800873]
[-39.44223022 -41.25498199 -40.34860611]
[-40.86653137 -42.6145401  -41.70816803]
[-40.99601746 -43.26195145 -42.29083633]
[-38.85956192 -40.1543808  -37.95318604]
[-38.40637207 -39.83067703 -37.6942215 ]
[-40.1543808  -40.99601746 -39.37748718]
[-39.44223022 -38.92430115 -38.14740753]
[-38.53585815 -37.43526077 -37.95318604]
[-38.85956192 -38.66533661 -38.92430115]
[-39.63645172 -38.98904419 -39.83067703]
[-37.95318604 -38.47111511 -38.40637207]
[-39.24800873 -40.28386688 -39.57171249]
