<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000001FAD2EBBCA0>
[-46.43426514 -47.27589417 -46.49900436]
[-45.65737152 -45.91633606 -45.72211075]
[-45.91633606 -46.88745117 -46.69322968]
[-47.27589417 -48.50597382 -48.31175232]
[-47.34063721 -47.98804855 -47.40538025]
[-46.69322968 -46.49900436 -46.88745117]
[-47.34063721 -47.34063721 -47.40538025]
[-46.36952209 -46.49900436 -47.34063721]
[-46.11055756 -46.69322968 -47.34063721]
[-45.98107529 -46.82270813 -46.69322968]
[-45.13944244 -45.91633606 -46.49900436]
[-45.00996017 -45.72211075 -46.11055756]
[-45.52788925 -45.98107529 -46.11055756]
[-45.52788925 -45.65737152 -45.52788925]
[-45.65737152 -45.91633606 -45.72211075]
[-45.72211075 -47.08167267 -46.88745117]
[-47.14641571 -48.44123459 -48.18227005]
[-46.04581451 -46.88745117 -46.62848663]
[-46.82270813 -47.01692963 -47.08167267]
[-47.27589417 -47.21115494 -47.5348587 ]
[-46.30477905 -46.69322968 -47.66434479]
[-46.56374359 -47.72908401 -47.85856628]
[-45.13944244 -46.9521904  -46.7579689 ]
[-44.68625641 -45.65737152 -45.78684998]
[-45.0746994  -46.04581451 -46.24003983]
[-46.49900436 -47.21115494 -46.43426514]
[-46.04581451 -46.30477905 -46.11055756]
[-46.7579689  -47.21115494 -46.88745117]
[-47.72908401 -48.37649536 -48.31175232]
[-47.27589417 -47.59960175 -47.40538025]
[-47.01692963 -47.14641571 -47.34063721]
[-47.47011948 -47.66434479 -47.72908401]
[-46.36952209 -46.7579689  -47.59960175]
[-46.49900436 -47.85856628 -48.24700928]
[-46.88745117 -47.85856628 -48.05278778]
[-45.0746994  -45.85159302 -46.43426514]
[-45.46315002 -46.24003983 -46.11055756]
[-46.43426514 -47.21115494 -46.7579689 ]
[-46.04581451 -46.56374359 -46.04581451]
[-45.85159302 -46.30477905 -45.65737152]
[-46.49900436 -47.92330933 -47.59960175]
[-46.7579689  -47.98804855 -47.27589417]
[-45.98107529 -45.98107529 -46.36952209]
[-45.78684998 -46.56374359 -46.11055756]
