tm1,tm2,steps
10,7,17
23,35,75
8,12,95
14,6,115
12,12,139
4,7,150
3,9,162
5,8,175
21,22,218
9,4,231
11,9,251
5,9,265
3,10,278
1,8,287
12,7,306
11,7,324
7,3,334
8,16,358
20,12,390
4,11,405
18,14,437
10,8,455
12,15,482
11,11,504
14,10,528
10,10,548
4,8,560
12,12,584
15,7,606
7,9,622
11,4,637
19,12,668
4,9,681
10,5,696
22,20,738
12,6,756
5,13,774
14,21,809
12,6,827
10,5,842
29,25,896
8,1,905
26,32,963
17,21,1001
20,26,1047
24,16,1087
7,13,1107
9,13,1129
4,8,1141
5,11,1157
8,11,1176
8,10,1194
10,7,1211
15,11,1237
11,8,1256
6,8,1270
21,20,1311
8,14,1333
11,6,1350
12,16,1378
13,14,1405
10,5,1420
30,26,1476
10,14,1500
12,17,1529
14,13,1556
9,9,1574
7,4,1585
10,15,1610
9,6,1625
17,14,1656
22,27,1705
11,6,1722
7,4,1733
3,10,1746
5,9,1760
8,8,1776
4,9,1789
8,2,1799
16,16,1831
14,12,1857
4,7,1868
10,5,1883
15,17,1915
5,9,1929
6,5,1940
1,10,1951
19,10,1980
13,13,2006
18,12,2036
18,16,2070
13,13,2096
11,10,2117
24,20,2161
11,8,2180
11,4,2195
7,4,2206
20,23,2249
10,4,2263
9,1,2273
8,4,2285
10,3,2298
11,16,2325
10,11,2346
4,9,2359
14,10,2383
6,12,2401
14,12,2427
9,5,2441
9,6,2456
11,9,2476
13,9,2498
4,8,2510
16,19,2545
11,13,2569
16,18,2603
23,17,2643
15,16,2674
11,18,2703
13,14,2730
7,15,2752
16,13,2781
14,9,2804
4,8,2816
9,11,2836
19,14,2869
8,7,2884
7,3,2894
8,11,2913
18,18,2949
6,10,2965
8,8,2981
25,16,3022
19,20,3061
18,17,3096
11,13,3120
30,31,3181
11,8,3200
5,7,3212
9,17,3238
7,8,3253
4,12,3269
17,21,3307
7,4,3318
12,15,3345
4,9,3358
18,20,3396
23,30,3449
10,8,3467
17,13,3497
0,8,3505
9,9,3523
4,9,3536
19,13,3568
10,1,3579
22,25,3626
8,8,3642
17,16,3675
13,13,3701
9,7,3717
26,24,3767
7,10,3784
8,11,3803
15,15,3833
9,11,3853
13,12,3878
20,18,3916
9,13,3938
2,8,3948
18,16,3982
13,12,4007
12,10,4029
9,5,4043
4,9,4056
11,9,4076
27,29,4132
8,7,4147
16,21,4184
14,19,4217
9,5,4231
12,11,4254
10,13,4277
16,16,4309
15,13,4337
13,8,4358
16,7,4381
22,23,4426
15,12,4453
12,8,4473
25,22,4520
20,14,4554
8,18,4580
13,15,4608
10,5,4623
21,24,4668
10,8,4686
2,8,4696
18,18,4732
5,7,4744
17,16,4777
10,14,4801
7,11,4819
5,12,4836
17,10,4863
12,13,4888
16,13,4917
2,9,4928
8,10,4946
11,9,4966
21,21,5008
6,11,5025
29,21,5075
12,9,5096
9,10,5115
4,8,5127
15,14,5156
11,9,5176
13,12,5201
7,5,5213
2,7,5222
7,9,5238
10,9,5257
18,18,5293
10,13,5316
6,8,5330
18,19,5367
8,4,5379
12,10,5401
15,11,5427
13,10,5450
13,10,5473
13,14,5500
9,15,5524
7,12,5543
14,21,5578
10,13,5601
18,14,5633
8,4,5645
18,16,5679
3,10,5692
8,6,5706
9,8,5723
14,10,5747
9,8,5764
10,15,5789
14,19,5822
14,13,5849
15,19,5883
18,16,5917
