tm1,tm2,steps
26,22,139
9,6,154
6,9,169
8,4,181
13,20,214
8,2,224
4,9,237
36,42,315
5,12,332
5,9,346
9,2,357
12,10,379
12,12,403
17,13,433
27,20,480
8,4,492
17,13,522
19,20,561
13,8,582
5,10,597
4,11,612
7,5,624
11,8,643
13,9,665
19,21,705
10,14,729
7,9,745
7,7,759
27,32,818
17,29,864
10,14,888
45,38,971
17,10,998
7,4,1009
6,12,1027
10,13,1050
12,7,1069
25,21,1115
40,41,1196
4,7,1207
16,16,1239
6,13,1258
10,10,1278
12,13,1303
14,11,1328
18,14,1360
34,44,1438
10,5,1453
10,6,1469
10,11,1490
15,19,1524
19,22,1565
7,2,1574
22,23,1619
16,25,1660
8,9,1677
10,7,1694
9,5,1708
8,6,1722
6,15,1743
6,9,1758
6,11,1775
15,15,1805
13,7,1825
14,10,1849
10,15,1874
5,10,1889
13,18,1920
18,20,1958
9,8,1975
20,18,2013
12,7,2032
17,18,2067
5,10,2082
7,9,2098
14,13,2125
13,6,2144
11,12,2167
12,17,2196
9,8,2213
10,4,2227
17,13,2257
9,13,2279
4,8,2291
3,6,2300
6,10,2316
9,6,2331
28,32,2391
5,8,2404
10,16,2430
2,11,2443
15,14,2472
9,12,2493
15,13,2521
21,18,2560
6,11,2577
11,10,2598
3,7,2608
16,14,2638
18,21,2677
12,10,2699
11,10,2720
36,40,2796
17,17,2830
9,7,2846
7,6,2859
14,14,2887
13,24,2924
19,18,2961
10,10,2981
5,9,2995
9,14,3018
18,19,3055
7,11,3073
21,18,3112
16,9,3137
13,17,3167
13,8,3188
22,15,3225
11,10,3246
8,5,3259
31,35,3325
11,14,3350
29,27,3406
18,15,3439
26,29,3494
17,14,3525
31,31,3587
9,6,3602
13,7,3622
1,8,3631
11,5,3647
11,10,3668
21,17,3706
13,18,3737
9,6,3752
9,11,3772
11,10,3793
5,11,3809
8,7,3824
14,8,3846
13,12,3871
48,43,3962
16,26,4004
9,3,4016
22,19,4057
28,32,4117
7,6,4130
26,33,4189
16,14,4219
33,43,4295
20,21,4336
19,14,4369
12,8,4389
14,11,4414
9,5,4428
6,11,4445
21,17,4483
12,8,4503
16,18,4537
5,9,4551
7,14,4572
23,17,4612
19,19,4650
11,6,4667
19,20,4706
18,20,4744
11,5,4760
19,26,4805
13,7,4825
29,25,4879
13,8,4900
59,69,5028
14,17,5059
17,10,5086
14,8,5108
10,10,5128
10,8,5146
14,16,5176
9,13,5198
36,30,5264
34,22,5320
14,10,5344
16,17,5377
26,27,5430
21,17,5468
3,9,5480
15,11,5506
10,1,5517
29,24,5570
26,24,5620
25,27,5672
16,13,5701
19,18,5738
17,18,5773
8,15,5796
11,9,5816
10,13,5839
26,29,5894
30,36,5960
14,15,5989
6,8,6003
17,12,6032
28,27,6087
11,9,6107
29,30,6166
15,15,6196
12,10,6218
12,16,6246
24,22,6292
12,7,6311
22,28,6361
15,23,6399
12,12,6423
12,6,6441
8,2,6451
9,9,6469
26,25,6520
10,6,6536
6,9,6551
16,13,6580
14,7,6601
33,36,6670
14,16,6700
10,7,6717
17,17,6751
19,23,6793
17,12,6822
11,12,6845
15,17,6877
11,8,6896
22,17,6935
50,44,7029
7,10,7046
20,18,7084
8,4,7096
6,11,7113
16,17,7146
24,24,7194
11,14,7219
24,27,7270
11,9,7290
10,16,7316
26,26,7368
11,8,7387
14,19,7420
7,9,7436
13,14,7463
25,30,7518
18,15,7551
24,22,7597
17,18,7632
45,39,7716
50,52,7818
14,18,7850
12,17,7879
20,20,7919
23,26,7968
3,8,7979
48,47,8074
25,20,8119
19,16,8154
7,10,8171
10,9,8190
8,8,8206
31,34,8271
11,7,8289
11,17,8317
26,22,8365
19,21,8405
16,15,8436
11,15,8462
30,33,8525
38,40,8603
61,60,8724
6,8,8738
18,17,8773
41,43,8857
17,17,8891
23,27,8941
9,6,8956
8,4,8968
46,42,9056
10,10,9076
14,19,9109
14,12,9135
35,37,9207
9,11,9227
27,18,9272
11,3,9286
9,6,9301
51,52,9404
23,22,9449
8,8,9465
6,8,9479
12,11,9502
14,12,9528
35,32,9595
20,30,9645
10,6,9661
7,12,9680
11,11,9702
54,53,9809
25,29,9863
35,36,9934
10,7,9951
14,16,9981
19,20,10020
30,24,10074
21,18,10113
4,8,10125
32,35,10192
10,12,10214
40,43,10297
34,26,10357
23,19,10399
66,57,10522
19,17,10558
23,28,10609
7,10,10626
11,7,10644
41,39,10724
36,26,10786
15,23,10824
11,17,10852
11,8,10871
3,9,10883
11,9,10903
12,11,10926
11,12,10949
51,56,11056
13,15,11084
21,22,11127
27,31,11185
5,13,11203
10,8,11221
43,35,11299
10,11,11320
4,8,11332
23,21,11376
32,26,11434
25,30,11489
17,16,11522
22,21,11565
13,8,11586
6,11,11603
26,24,11653
39,39,11731
28,34,11793
29,22,11844
24,29,11897
29,20,11946
18,21,11985
41,46,12072
71,58,12201
18,16,12235
10,3,12248
23,26,12297
18,21,12336
8,13,12357
37,40,12434
48,49,12531
7,5,12543
19,13,12575
17,24,12616
14,8,12638
26,24,12688
52,55,12795
21,16,12832
20,17,12869
41,55,12965
3,9,12977
16,12,13005
113,117,13235
29,33,13297
24,12,13333
98,107,13538
43,47,13628
