tm1,tm2,steps
25,24,142
5,9,156
15,13,184
7,8,199
6,3,208
11,2,221
16,13,250
10,7,267
14,16,297
7,3,307
7,6,320
17,15,352
10,8,370
11,3,384
8,2,394
11,10,415
20,21,456
4,7,467
16,10,493
1,10,504
9,4,517
9,5,531
9,2,542
12,9,563
11,12,586
10,12,608
4,9,621
22,21,664
8,11,683
10,8,701
5,10,716
11,10,737
19,20,776
7,2,785
31,37,853
10,12,875
4,8,887
14,21,922
3,9,934
4,9,947
10,15,972
12,11,995
8,3,1006
15,10,1031
12,14,1057
13,15,1085
10,10,1105
7,8,1120
14,9,1143
10,6,1159
5,7,1171
18,18,1207
21,19,1247
5,8,1260
13,7,1280
20,22,1322
6,10,1338
4,9,1351
15,18,1384
2,10,1396
14,17,1427
16,11,1454
5,8,1467
4,10,1481
10,12,1503
9,9,1521
8,4,1533
10,5,1548
13,12,1573
12,13,1598
19,16,1633
3,12,1648
11,17,1676
23,24,1723
25,17,1765
10,11,1786
18,15,1819
8,5,1832
9,6,1847
2,11,1860
12,9,1881
18,20,1919
11,7,1937
23,21,1981
7,5,1993
17,14,2024
8,4,2036
13,9,2058
9,4,2071
25,18,2114
10,8,2132
14,21,2167
19,18,2204
27,32,2263
24,25,2312
11,11,2334
8,5,2347
10,10,2367
10,3,2380
14,11,2405
15,7,2427
9,4,2440
14,15,2469
15,12,2496
8,9,2513
3,11,2527
7,12,2546
0,9,2555
7,11,2573
10,7,2590
8,5,2603
6,9,2618
18,18,2654
13,8,2675
13,10,2698
25,27,2750
13,17,2780
8,2,2790
9,6,2805
8,6,2819
2,9,2830
5,9,2844
8,4,2856
18,17,2891
14,11,2916
9,10,2935
17,24,2976
10,17,3003
10,11,3024
5,9,3038
11,10,3059
10,10,3079
9,11,3099
5,8,3112
21,17,3150
25,23,3198
9,2,3209
20,20,3249
16,13,3278
4,7,3289
10,9,3308
8,14,3330
3,10,3343
12,11,3366
5,9,3380
10,6,3396
7,4,3407
12,16,3435
8,12,3455
14,15,3484
6,9,3499
12,16,3527
9,11,3547
13,11,3571
11,5,3587
18,12,3617
12,9,3638
10,6,3654
11,4,3669
9,8,3686
16,12,3714
8,5,3727
7,13,3747
17,20,3784
12,10,3806
16,14,3836
12,9,3857
9,5,3871
17,15,3903
17,20,3940
11,14,3965
7,9,3981
10,4,3995
16,10,4021
6,8,4035
6,8,4049
7,10,4066
21,27,4114
7,4,4125
11,6,4142
9,11,4162
23,20,4205
11,10,4226
11,14,4251
16,12,4279
13,14,4306
3,7,4316
8,1,4325
7,7,4339
37,37,4413
10,14,4437
13,15,4465
17,15,4497
5,13,4515
8,10,4533
12,13,4558
30,23,4611
23,20,4654
8,2,4664
10,5,4679
20,26,4725
11,9,4745
18,16,4779
9,8,4796
5,11,4812
21,12,4845
26,15,4886
13,22,4921
23,22,4966
4,8,4978
12,13,5003
24,36,5063
11,10,5084
11,10,5105
17,16,5138
10,15,5163
6,10,5179
