tm1,tm2,steps
23,19,148
15,17,180
5,8,193
9,5,207
9,8,224
10,7,241
4,11,256
11,7,274
10,2,286
13,15,314
3,8,325
9,6,340
19,17,376
10,5,391
17,13,421
11,8,440
8,8,456
30,31,517
14,6,537
13,10,560
16,24,600
3,11,614
9,2,625
13,15,653
2,11,666
13,10,689
5,8,702
7,12,721
16,13,750
9,3,762
14,15,791
4,9,804
8,7,819
16,15,850
8,5,863
11,7,881
32,40,953
12,9,974
9,6,989
12,8,1009
5,10,1024
8,9,1041
23,19,1083
12,9,1104
21,16,1141
12,8,1161
13,10,1184
9,6,1199
19,29,1247
12,6,1265
17,15,1297
8,6,1311
8,5,1324
18,14,1356
10,8,1374
14,13,1401
9,7,1417
35,37,1489
17,10,1516
14,17,1547
32,30,1609
14,12,1635
13,17,1665
8,5,1678
14,15,1707
9,12,1728
13,12,1753
12,8,1773
13,13,1799
14,11,1824
17,14,1855
11,19,1885
24,21,1930
18,23,1971
11,13,1995
8,3,2006
6,5,2017
14,13,2044
8,8,2060
21,19,2100
23,24,2147
24,27,2198
19,22,2239
4,7,2250
12,13,2275
9,16,2300
17,12,2329
36,33,2398
8,4,2410
17,21,2448
35,34,2517
12,9,2538
24,27,2589
6,9,2604
13,14,2631
16,10,2657
32,29,2718
3,8,2729
27,19,2775
8,9,2792
4,7,2803
4,8,2815
8,8,2831
11,14,2856
10,8,2874
19,13,2906
4,6,2916
26,23,2965
7,10,2982
7,10,2999
6,9,3014
10,9,3033
33,22,3088
7,10,3105
16,13,3134
12,10,3156
8,11,3175
7,8,3190
20,26,3236
6,10,3252
7,2,3261
10,21,3292
12,13,3317
10,8,3335
33,34,3402
20,20,3442
11,7,3460
10,7,3477
12,4,3493
27,22,3542
12,17,3571
10,9,3590
18,22,3630
12,13,3655
31,29,3715
10,7,3732
5,10,3747
12,12,3771
5,8,3784
31,29,3844
14,16,3874
6,10,3890
17,13,3920
14,10,3944
46,44,4034
20,18,4072
12,7,4091
11,7,4109
18,25,4152
31,28,4211
23,23,4257
10,11,4278
7,12,4297
16,23,4336
4,7,4347
5,10,4362
7,9,4378
12,10,4400
28,31,4459
3,10,4472
7,13,4492
10,9,4511
10,6,4527
8,3,4538
22,24,4584
5,10,4599
19,20,4638
9,10,4657
23,27,4707
13,14,4734
18,16,4768
5,9,4782
36,34,4852
16,12,4880
8,4,4892
29,28,4949
8,7,4964
30,29,5023
10,13,5046
3,10,5059
12,5,5076
23,22,5121
9,14,5144
36,36,5216
12,7,5235
16,18,5269
20,21,5310
33,28,5371
13,9,5393
19,21,5433
12,8,5453
15,13,5481
21,20,5522
21,26,5569
23,19,5611
12,12,5635
11,12,5658
24,22,5704
12,4,5720
4,8,5732
19,14,5765
13,12,5790
5,9,5804
22,22,5848
27,19,5894
10,14,5918
25,15,5958
23,22,6003
13,11,6027
17,13,6057
25,20,6102
15,19,6136
9,13,6158
18,12,6188
50,48,6286
18,13,6317
7,9,6333
16,21,6370
30,31,6431
6,12,6449
37,38,6524
12,13,6549
23,21,6593
27,21,6641
33,29,6703
34,34,6771
14,10,6795
14,15,6824
32,27,6883
30,30,6943
17,14,6974
42,37,7053
12,14,7079
21,21,7121
16,17,7154
35,42,7231
15,16,7262
19,19,7300
14,16,7330
15,12,7357
8,4,7369
17,16,7402
29,30,7461
52,53,7566
24,16,7606
23,22,7651
19,21,7691
11,8,7710
12,14,7736
15,16,7767
14,9,7790
21,18,7829
34,29,7892
14,19,7925
11,12,7948
4,10,7962
39,30,8031
16,19,8066
5,8,8079
16,18,8113
9,9,8131
22,16,8169
13,15,8197
20,19,8236
31,25,8292
16,20,8328
44,41,8413
32,37,8482
37,37,8556
15,19,8590
7,14,8611
52,61,8724
9,5,8738
2,11,8751
26,25,8802
26,26,8854
33,30,8917
19,10,8946
7,6,8959
30,32,9021
16,13,9050
95,95,9240
12,16,9268
13,16,9297
30,25,9352
16,16,9384
19,19,9422
13,6,9441
14,15,9470
53,50,9573
22,25,9620
4,10,9634
7,6,9647
10,12,9669
19,28,9716
9,9,9734
9,10,9753
12,8,9773
13,15,9801
12,15,9828
9,11,9848
60,52,9960
15,9,9984
9,8,10001
25,27,10053
20,23,10096
24,21,10141
22,27,10190
51,47,10288
31,27,10346
23,21,10390
10,14,10414
25,24,10463
11,11,10485
11,12,10508
8,14,10530
59,59,10648
9,15,10672
39,37,10748
79,86,10913
7,10,10930
10,15,10955
34,33,11022
21,23,11066
27,33,11126
15,15,11156
13,13,11182
10,11,11203
23,16,11242
20,22,11284
52,47,11383
59,59,11501
13,21,11535
13,10,11558
19,18,11595
7,12,11614
6,11,11631
26,28,11685
35,31,11751
51,51,11853
21,18,11892
43,43,11978
45,51,12074
16,17,12107
27,30,12164
10,10,12184
40,48,12272
3,9,12284
53,44,12381
54,55,12490
11,13,12514
24,21,12559
18,25,12602
24,19,12645
12,15,12672
15,14,12701
25,28,12754
22,21,12797
38,38,12873
10,9,12892
28,25,12945
12,8,12965
24,21,13010
30,27,13067
23,28,13118
21,20,13159
26,26,13211
16,15,13242
25,23,13290
29,28,13347
33,30,13410
12,19,13441
16,19,13476
53,64,13593
10,7,13610
43,37,13690
29,27,13746
59,55,13860
8,11,13879
55,45,13979
31,29,14039
13,12,14064
3,11,14078
3,9,14090
10,14,14114
105,97,14316
27,25,14368
7,10,14385
8,7,14400
30,38,14468
3,9,14480
32,28,14540
34,36,14610
78,69,14757
11,8,14776
52,52,14880
24,22,14926
15,20,14961
24,27,15012
93,85,15190
21,18,15229
57,51,15337
82,90,15509
6,4,15519
12,6,15537
43,49,15629
34,34,15697
73,67,15837
9,9,15855
50,54,15959
14,19,15992
30,25,16047
67,71,16185
27,27,16239
8,11,16258
13,9,16280
38,35,16353
31,39,16423
26,32,16481
30,29,16540
26,31,16597
11,9,16617
6,10,16633
33,28,16694
31,37,16762
24,24,16810
33,36,16879
52,56,16987
23,23,17033
16,14,17063
50,51,17164
79,87,17330
19,15,17364
24,26,17414
20,22,17456
33,35,17524
34,41,17599
29,27,17655
8,11,17674
20,22,17716
21,28,17765
15,16,17796
29,24,17849
74,65,17988
68,77,18133
46,50,18229
10,2,18241
9,9,18259
37,34,18330
11,10,18351
11,13,18375
58,57,18490
42,45,18577
29,37,18643
20,18,18681
5,9,18695
22,23,18740
10,5,18755
45,41,18841
26,22,18889
37,36,18962
25,23,19010
24,24,19058
71,78,19207
19,26,19252
21,21,19294
4,8,19306
11,11,19328
13,7,19348
24,26,19398
38,35,19471
61,65,19597
5,10,19612
14,14,19640
18,19,19677
66,72,19815
22,19,19856
48,49,19953
10,7,19970
72,86,20128
32,40,20200
13,10,20223
13,17,20253
38,49,20340
20,25,20385
44,51,20480
26,34,20540
58,56,20654
17,16,20687
20,25,20732
22,17,20771
8,8,20787
7,11,20805
35,39,20879
46,53,20978
67,70,21115
12,9,21136
53,53,21242
18,17,21277
69,60,21406
6,10,21422
37,38,21497
71,67,21635
10,16,21661
44,46,21751
32,26,21809
49,56,21914
88,92,22094
68,70,22232
44,41,22317
111,100,22528
28,31,22587
28,28,22643
41,40,22724
46,50,22820
82,90,22992
31,37,23060
18,14,23092
34,40,23166
73,73,23312
27,29,23368
23,23,23414
65,70,23549
73,84,23706
140,133,23979
27,25,24031
73,72,24176
23,28,24227
15,13,24255
54,55,24364
31,30,24425
72,80,24577
39,37,24653
34,41,24728
24,27,24779
14,9,24802
16,17,24835
23,25,24883
9,5,24897
59,63,25019
32,42,25093
90,86,25269
71,68,25408
157,169,25734
65,70,25869
22,18,25909
57,68,26034
70,63,26167
46,50,26263
90,96,26449
10,13,26472
17,13,26502
55,57,26614
25,26,26665
40,35,26740
42,46,26828
10,11,26849
8,4,26861
17,19,26897
83,77,27057
69,77,27203
25,30,27258
53,44,27355
23,26,27404
20,20,27444
26,33,27503
24,23,27550
34,36,27620
49,47,27716
21,24,27761
8,5,27774
26,30,27830
23,22,27875
58,56,27989
26,28,28043
119,106,28268
204,197,28669
33,34,28736
18,14,28768
9,10,28787
19,17,28823
75,77,28975
93,99,29167
38,34,29239
26,29,29294
7,3,29304
72,85,29461
46,52,29559
72,76,29707
22,23,29752
38,49,29839
18,15,29872
111,117,30100
5,8,30113
33,25,30171
26,21,30218
36,36,30290
27,27,30344
33,29,30406
56,65,30527
19,18,30564
26,27,30617
8,8,30633
9,9,30651
45,48,30744
69,71,30884
40,39,30963
22,22,31007
72,61,31140
13,10,31163
67,61,31291
15,17,31323
27,25,31375
4,8,31387
88,76,31551
121,129,31801
41,36,31878
66,76,32020
25,21,32066
20,18,32104
26,28,32158
38,44,32240
39,44,32323
27,24,32374
188,183,32745
123,132,33000
9,9,33018
13,16,33047
26,28,33101
8,9,33118
49,50,33217
28,26,33271
30,28,33329
11,13,33353
13,16,33382
76,74,33532
39,44,33615
50,64,33729
113,116,33958
14,14,33986
59,73,34118
91,87,34296
46,48,34390
7,8,34405
35,37,34477
35,39,34551
87,96,34734
49,65,34848
69,69,34986
36,34,35056
15,16,35087
60,74,35221
93,81,35395
89,98,35582
59,59,35700
27,32,35759
27,24,35810
75,84,35969
130,140,36239
32,36,36307
28,25,36360
127,133,36620
29,30,36679
25,28,36732
31,29,36792
30,27,36849
24,23,36896
9,10,36915
6,8,36929
24,21,36974
84,88,37146
45,57,37248
22,22,37292
94,83,37469
34,39,37542
66,73,37681
39,39,37759
60,69,37888
55,61,38004
52,55,38111
