actor_1,actor_2
112.1148452758789, 111.8170394897461
112.00189971923828, 111.81188201904297
110.34854888916016, 112.13805389404297
111.8290023803711, 112.02546691894531
112.2334213256836, 112.13397216796875
111.5023422241211, 112.27996063232422
112.24352264404297, 112.31586456298828
112.4032974243164, 112.38104248046875
112.2553482055664, 112.46965789794922
112.48067474365234, 112.53821563720703
112.40752410888672, 112.4084243774414
111.99342346191406, 111.80577850341797
112.41670989990234, 112.43235778808594
111.9467544555664, 111.74881744384766
112.3860092163086, 112.3932113647461
111.84403991699219, 111.60222625732422
112.3048324584961, 112.27470397949219
112.53265380859375, 112.5934829711914
112.25188446044922, 112.19759368896484
112.50641632080078, 112.55298614501953
112.16735076904297, 112.07064056396484
112.45698547363281, 112.47553253173828
112.04235076904297, 111.87980651855469
112.37447357177734, 112.34554290771484
112.47269439697266, 112.45650482177734
112.42269897460938, 112.36958312988281
112.16946411132812, 112.30357360839844
112.43560028076172, 112.43596649169922
112.53060150146484, 112.5629653930664
112.4614486694336, 112.48540496826172
112.05396270751953, 111.90139770507812
112.39640045166016, 112.38459014892578
112.49964141845703, 112.50641632080078
112.36371612548828, 112.33390045166016
112.4819107055664, 112.47602844238281
112.44213104248047, 112.40176391601562
112.21607208251953, 112.32952880859375
112.46002960205078, 112.47235107421875
112.54827117919922, 112.59569549560547
112.47293853759766, 112.50860595703125
112.0621109008789, 111.9190444946289
112.41259002685547, 112.41596221923828
111.92169952392578, 111.70629119873047
112.30911254882812, 112.2549819946289
112.46025085449219, 112.4433364868164
112.4394760131836, 112.38278198242188
112.30308532714844, 112.27513122558594
111.08815002441406, 112.52275848388672
112.14086151123047, 112.4422836303711
112.48174285888672, 112.56575775146484
112.60063934326172, 112.69784545898438
112.5678939819336, 112.66594696044922
112.2543716430664, 112.21915435791016
112.54873657226562, 112.6391372680664
112.18050384521484, 112.11104583740234
112.50373840332031, 112.57071685791016
112.0621109008789, 111.93264770507812
112.42284393310547, 112.44518280029297
111.89017486572266, 111.66883087158203
112.28933715820312, 112.23651885986328
112.46504974365234, 112.46038055419922
112.4588394165039, 112.41362762451172
112.36369323730469, 112.28789520263672
111.85488891601562, 112.31688690185547
112.32733154296875, 112.3782730102539
112.50910186767578, 112.53631591796875
112.57391357421875, 112.64307403564453
112.46849822998047, 112.51207733154297
112.01383209228516, 111.85588073730469
112.39359283447266, 112.39730834960938
111.85334014892578, 111.6121597290039
112.2663345336914, 112.19983673095703
112.45401763916016, 112.44190979003906
112.45327758789062, 112.40399932861328
112.35814666748047, 112.2818374633789
111.81854248046875, 112.32261657714844
112.31832122802734, 112.38204193115234
112.50938415527344, 112.54138946533203
112.5779800415039, 112.65078735351562
112.47991943359375, 112.52996063232422
112.04176330566406, 111.89836883544922
112.4162368774414, 112.43324279785156
111.89681243896484, 111.67967987060547
112.30460357666016, 112.26060485839844
112.48102569580078, 112.48770904541016
112.22076416015625, 112.12938690185547
112.42713928222656, 112.39820098876953
112.43626403808594, 112.37261199951172
112.35070037841797, 112.24889373779297
111.9423599243164, 112.24442291259766
112.33120727539062, 112.33342742919922
112.49225616455078, 112.49654388427734
112.54496765136719, 112.5920639038086
112.4131851196289, 112.42301940917969
111.9182357788086, 111.70740509033203
112.32469940185547, 112.28765106201172
112.49169158935547, 112.50314331054688
112.26685333251953, 112.19783782958984
112.45541381835938, 112.44278717041016
112.45442199707031, 112.4073715209961
112.3506851196289, 112.2916488647461
111.64437866210938, 112.38935089111328
112.28350830078125, 112.41710662841797
112.51461029052734, 112.57117462158203
112.59912872314453, 112.6902847290039
112.5288314819336, 112.60787200927734
112.1469955444336, 112.0595932006836
112.49059295654297, 112.5514907836914
112.0396728515625, 111.90007019042969
112.41585540771484, 112.43688201904297
111.87822723388672, 111.6546401977539
112.28882598876953, 112.23970031738281
112.47473907470703, 112.47992706298828
112.1871109008789, 112.08014678955078
112.40819549560547, 112.36971282958984
112.42630004882812, 112.35478210449219
112.34968566894531, 112.22845458984375
112.06790161132812, 112.17797088623047
112.3457260131836, 112.29157257080078
111.57447052001953, 112.4112548828125
112.26707458496094, 112.42833709716797
112.51461029052734, 112.58020782470703
112.60491180419922, 112.7017593383789
112.54325103759766, 112.63087463378906
112.1810302734375, 112.11151123046875
112.51417541503906, 112.58916473388672
112.088623046875, 111.9754409790039
112.45219421386719, 112.49478912353516
111.94454193115234, 111.75762939453125
112.3437728881836, 112.326904296875
112.51166534423828, 112.5423583984375
112.2618637084961, 112.19857025146484
112.45940399169922, 112.45537567138672
112.46465301513672, 112.42475891113281
112.37825775146484, 112.29934692382812
111.97638702392578, 112.29200744628906
112.35907745361328, 112.38201904296875
112.51830291748047, 112.54424285888672
112.57154083251953, 112.64021301269531
112.4457778930664, 112.4793472290039
111.96113586425781, 111.7782211303711
112.3598861694336, 112.34784698486328
112.51998901367188, 112.55399322509766
112.30350494384766, 112.26025390625
112.4848403930664, 112.49544525146484
112.22370147705078, 112.1356430053711
112.4334487915039, 112.41020965576172
112.4444351196289, 112.38789367675781
112.35942840576172, 112.26508331298828
111.9516830444336, 112.2606201171875
112.34064483642578, 112.3520278930664
112.50244140625, 112.51590728759766
112.5558853149414, 112.61197662353516
112.42782592773438, 112.44799041748047
111.9406967163086, 111.74372100830078
112.34424591064453, 112.32044982910156
112.50765991210938, 112.53157043457031
112.29104614257812, 112.23804473876953
112.47450256347656, 112.4764175415039
112.21498107910156, 112.11945343017578
112.42554473876953, 112.39524841308594
112.43650817871094, 112.37340545654297
112.34955596923828, 112.2522964477539
111.90306854248047, 112.26183319091797
112.32549285888672, 112.34566497802734
112.49686431884766, 112.50959777832031
112.55504608154297, 112.61005401611328
112.4354476928711, 112.4583511352539
111.96232604980469, 111.77515411376953
112.36002349853516, 112.34368133544922
112.5155258178711, 112.54395294189453
112.31549835205078, 112.27501678466797
112.48823547363281, 112.4985122680664
112.25074005126953, 112.17428588867188
112.44721984863281, 112.43033599853516
112.45055389404297, 112.39962005615234
112.35431671142578, 112.28111267089844
111.76937103271484, 112.33834075927734
112.30809783935547, 112.39220428466797
112.51156616210938, 112.55171966552734
112.5852279663086, 112.66437530517578
112.4968490600586, 112.55689239501953
112.0797119140625, 111.9564437866211
112.44517517089844, 112.47937774658203
111.95199584960938, 111.76514434814453
112.35038757324219, 112.33344268798828
112.51254272460938, 112.54142761230469
112.28431701660156, 112.2303237915039
112.47098541259766, 112.4721908569336
112.19246673583984, 112.08656311035156
112.41120147705078, 112.3731460571289
112.42732238769531, 112.35648345947266
112.3475570678711, 112.23214721679688
112.01384735107422, 112.20111846923828
112.33834075927734, 112.30630493164062
111.36528778076172, 112.49019622802734
112.22083282470703, 112.46730041503906
112.51531982421875, 112.60760498046875
112.62105560302734, 112.73409271240234
112.57957458496094, 112.68966674804688
112.26097869873047, 112.23441314697266
112.56539916992188, 112.67159271240234
112.19463348388672, 112.13885498046875
112.52491760253906, 112.6110610961914
112.08301544189453, 111.97181701660156
112.44864654541016, 112.4935073852539
111.9172592163086, 111.71862030029297
112.3203353881836, 112.29370880126953
112.49990844726562, 112.5252456665039
112.2152099609375, 112.12859344482422
