tm1,tm2,steps
19,16,11689
7,9,11705
3,9,11717
11,2,11730
3,8,11741
23,24,11788
10,11,11809
10,11,11830
9,12,11851
24,30,11905
10,12,11927
14,9,11950
24,21,11995
8,10,12013
14,14,12041
22,33,12096
25,26,12147
12,14,12173
24,33,12230
6,10,12246
8,14,12268
4,10,12282
6,10,12298
10,17,12325
17,21,12363
8,6,12377
12,13,12402
20,24,12446
2,10,12458
14,6,12478
18,17,12513
5,6,12524
21,16,12561
15,7,12583
11,10,12604
1,9,12614
2,7,12623
20,15,12658
6,11,12675
13,13,12701
18,17,12736
14,15,12765
11,7,12783
4,10,12797
4,7,12808
11,13,12832
8,7,12847
15,10,12872
8,1,12881
14,20,12915
7,6,12928
45,43,13016
8,5,13029
25,20,13074
8,15,13097
31,30,13158
2,9,13169
7,12,13188
13,18,13219
38,30,13287
3,6,13296
21,27,13344
7,2,13353
11,3,13367
15,17,13399
16,15,13430
38,48,13516
7,5,13528
3,7,13538
25,22,13585
6,12,13603
19,9,13631
21,20,13672
9,8,13689
13,19,13721
9,9,13739
12,10,13761
9,0,13770
21,16,13807
29,30,13866
14,14,13894
8,4,13906
5,7,13918
5,10,13933
16,17,13966
10,16,13992
25,25,14042
5,8,14055
9,13,14077
29,27,14133
11,13,14157
2,9,14168
9,3,14180
8,12,14200
3,11,14214
7,2,14223
32,31,14286
23,14,14323
11,1,14335
12,15,14362
33,27,14422
15,11,14448
11,5,14464
27,24,14515
2,8,14525
41,47,14613
18,19,14650
38,40,14728
16,16,14760
7,7,14774
40,44,14858
49,51,14958
14,11,14983
6,5,14994
6,11,15011
9,0,15020
21,17,15058
15,9,15082
15,16,15113
18,18,15149
0,8,15157
16,15,15188
9,4,15201
31,18,15250
2,9,15261
3,9,15273
10,11,15294
14,14,15322
32,42,15396
3,8,15407
5,12,15424
9,2,15435
5,8,15448
7,3,15458
17,15,15490
9,6,15505
9,10,15524
20,21,15565
13,14,15592
12,12,15616
20,14,15650
3,9,15662
7,8,15677
12,8,15697
8,3,15708
33,39,15780
10,8,15798
16,15,15829
12,9,15850
23,12,15885
19,8,15912
10,14,15936
15,13,15964
8,6,15978
10,6,15994
6,13,16013
36,33,16082
15,16,16113
11,13,16137
11,11,16159
28,18,16205
16,17,16238
21,26,16285
17,16,16318
17,16,16351
20,12,16383
42,36,16461
21,13,16495
19,23,16537
9,14,16560
12,6,16578
2,8,16588
5,13,16606
12,12,16630
8,5,16643
6,9,16658
1,10,16669
14,16,16699
7,12,16718
48,33,16799
17,16,16832
17,8,16857
5,9,16871
11,7,16889
23,30,16942
10,3,16955
24,25,17004
31,31,17066
39,33,17138
8,13,17159
10,12,17181
14,20,17215
12,7,17234
5,9,17248
33,36,17317
2,9,17328
9,19,17356
9,14,17379
12,15,17406
24,27,17457
33,34,17524
16,16,17556
15,10,17581
9,12,17602
12,5,17619
11,7,17637
4,12,17653
35,37,17725
13,13,17751
31,25,17807
12,16,17835
2,10,17847
30,27,17904
8,11,17923
16,19,17958
2,10,17970
12,18,18000
24,26,18050
16,16,18082
19,15,18116
9,17,18142
9,1,18152
13,6,18171
6,11,18188
25,38,18251
9,2,18262
4,13,18279
10,4,18293
2,11,18306
3,11,18320
26,22,18368
29,28,18425
13,11,18449
9,4,18462
24,23,18509
20,23,18552
8,3,18563
10,1,18574
32,28,18634
22,28,18684
11,17,18712
41,31,18784
10,15,18809
10,2,18821
22,11,18854
9,0,18863
17,9,18889
14,7,18910
22,25,18957
12,3,18972
14,14,19000
2,10,19012
22,22,19056
10,10,19076
8,3,19087
1,8,19096
15,6,19117
12,13,19142
32,34,19208
20,15,19243
44,44,19331
20,31,19382
5,7,19394
10,2,19406
10,2,19418
8,7,19433
23,25,19481
10,3,19494
8,2,19504
8,5,19517
14,22,19553
31,34,19618
10,8,19636
30,26,19692
8,5,19705
8,6,19719
11,9,19739
2,11,19752
8,3,19763
9,10,19782
34,40,19856
14,6,19876
13,14,19903
11,7,19921
30,30,19981
9,4,19994
15,13,20022
4,11,20037
36,24,20097
17,16,20130
21,24,20175
17,18,20210
35,33,20278
20,27,20325
9,1,20335
20,22,20377
11,6,20394
13,7,20414
77,73,20564
7,7,20578
15,20,20613
2,10,20625
28,21,20674
9,15,20698
8,8,20714
23,22,20759
5,8,20772
4,7,20783
9,4,20796
0,9,20805
10,14,20829
2,11,20842
27,27,20896
36,36,20968
28,27,21023
26,27,21076
10,5,21091
15,5,21111
7,13,21131
27,22,21180
68,58,21306
18,23,21347
29,26,21402
15,15,21432
4,13,21449
113,107,21669
6,14,21689
11,6,21706
5,12,21723
15,10,21748
5,14,21767
4,11,21782
8,3,21793
4,9,21806
3,10,21819
0,10,21829
13,15,21857
3,6,21866
20,17,21903
47,48,21998
13,13,22024
21,20,22065
46,37,22148
30,20,22198
13,8,22219
15,10,22244
10,9,22263
34,36,22333
2,11,22346
15,10,22371
25,21,22417
14,12,22443
25,16,22484
13,12,22509
34,39,22582
10,9,22601
13,9,22623
12,7,22642
7,6,22655
8,19,22682
10,0,22692
4,17,22713
6,11,22730
1,10,22741
10,9,22760
5,7,22772
8,12,22792
11,8,22811
23,25,22859
9,0,22868
10,11,22889
16,17,22922
14,16,22952
0,10,22962
16,25,23003
11,13,23027
14,17,23058
15,9,23082
19,18,23119
10,13,23142
33,32,23207
14,14,23235
8,18,23261
6,6,23273
9,4,23286
18,17,23321
2,11,23334
10,1,23345
8,3,23356
31,29,23416
17,17,23450
2,9,23461
9,7,23477
10,8,23495
23,21,23539
9,6,23554
13,7,23574
18,18,23610
26,25,23661
20,20,23701
18,9,23728
8,12,23748
16,7,23771
7,13,23791
4,8,23803
6,8,23817
47,38,23902
5,10,23917
4,9,23930
24,19,23973
20,24,24017
38,43,24098
8,2,24108
8,17,24133
4,9,24146
4,8,24158
78,74,24310
11,9,24330
7,5,24342
36,45,24423
22,21,24466
8,6,24480
19,20,24519
9,6,24534
5,8,24547
17,13,24577
10,7,24594
34,38,24666
29,30,24725
63,63,24851
18,17,24886
15,8,24909
27,26,24962
5,9,24976
18,18,25012
1,9,25022
1,9,25032
26,25,25083
19,16,25118
21,13,25152
21,19,25192
12,5,25209
7,11,25227
34,35,25296
5,12,25313
18,18,25349
11,11,25371
10,11,25392
17,18,25427
26,24,25477
18,17,25512
8,3,25523
48,49,25620
42,42,25704
12,14,25730
17,21,25768
28,29,25825
5,9,25839
11,10,25860
7,9,25876
13,15,25904
15,16,25935
0,9,25944
14,13,25971
13,12,25996
16,29,26041
3,12,26056
11,5,26072
1,9,26082
8,4,26094
33,40,26167
22,21,26210
13,10,26233
24,24,26281
4,12,26297
40,37,26374
55,54,26483
16,15,26514
15,17,26546
1,9,26556
3,10,26569
14,12,26595
8,6,26609
10,2,26621
8,3,26632
15,19,26666
12,4,26682
12,12,26706
4,10,26720
22,21,26763
10,11,26784
42,43,26869
22,19,26910
18,18,26946
11,8,26965
16,13,26994
20,17,27031
20,16,27067
15,14,27096
26,27,27149
10,4,27163
40,38,27241
7,2,27250
10,7,27267
11,13,27291
3,8,27302
6,7,27315
13,5,27333
9,2,27344
2,7,27353
28,29,27410
8,11,27429
11,7,27447
9,2,27458
10,2,27470
11,2,27483
8,1,27492
25,23,27540
2,8,27550
28,26,27604
9,0,27613
10,3,27626
11,18,27655
13,6,27674
8,12,27694
28,25,27747
35,30,27812
11,9,27832
10,4,27846
24,16,27886
17,15,27918
5,11,27934
25,22,27981
16,25,28022
6,16,28044
11,3,28058
9,14,28081
4,14,28099
26,20,28145
11,17,28173
10,0,28183
36,37,28256
18,15,28289
25,26,28340
20,20,28380
1,8,28389
8,4,28401
1,10,28412
12,4,28428
10,11,28449
4,7,28460
28,23,28511
23,20,28554
1,10,28565
0,10,28575
12,19,28606
4,14,28624
28,27,28679
19,28,28726
90,107,28923
4,13,28940
29,32,29001
9,15,29025
4,10,29039
34,37,29110
22,26,29158
38,40,29236
36,38,29310
12,21,29343
1,9,29353
5,15,29373
45,43,29461
67,74,29602
23,23,29648
24,23,29695
17,22,29734
8,6,29748
14,13,29775
6,21,29802
1,10,29813
2,9,29824
10,11,29845
9,3,29857
11,2,29870
20,20,29910
16,18,29944
13,15,29972
42,44,30058
27,14,30099
21,25,30145
17,17,30179
11,11,30201
31,29,30261
16,18,30295
8,4,30307
24,22,30353
28,26,30407
7,6,30420
13,13,30446
57,64,30567
6,13,30586
8,14,30608
33,37,30678
8,3,30689
8,12,30709
14,8,30731
22,21,30774
7,10,30791
23,18,30832
2,9,30843
12,13,30868
12,3,30883
10,11,30904
1,9,30914
16,7,30937
10,10,30957
5,10,30972
10,3,30985
10,5,31000
11,2,31013
10,11,31034
6,12,31052
16,8,31076
10,3,31089
24,12,31125
11,1,31137
12,10,31159
9,12,31180
11,10,31201
27,29,31257
17,10,31284
11,1,31296
42,45,31383
9,6,31398
11,22,31431
26,11,31468
35,29,31532
1,10,31543
158,156,31857
36,38,31931
7,9,31947
19,19,31985
17,23,32025
5,9,32039
5,8,32052
19,17,32088
51,45,32184
14,13,32211
33,26,32270
21,21,32312
17,10,32339
10,1,32350
29,47,32426
12,18,32456
15,17,32488
7,8,32503
9,9,32521
7,15,32543
11,18,32572
1,9,32582
16,7,32605
9,9,32623
30,18,32671
23,26,32720
56,35,32811
22,17,32850
49,44,32943
43,40,33026
0,8,33034
3,10,33047
15,7,33069
35,33,33137
10,1,33148
7,10,33165
70,68,33303
14,16,33333
8,2,33343
18,16,33377
23,17,33417
12,12,33441
26,34,33501
28,40,33569
5,10,33584
20,12,33616
31,31,33678
14,14,33706
27,23,33756
9,9,33774
2,9,33785
0,9,33794
21,24,33839
8,13,33860
35,51,33946
34,43,34023
4,15,34042
11,19,34072
11,11,34094
0,10,34104
6,9,34119
10,17,34146
3,11,34160
1,9,34170
0,9,34179
22,21,34222
22,25,34269
59,60,34388
11,15,34414
39,22,34475
11,1,34487
56,44,34587
23,19,34629
14,14,34657
33,37,34727
26,30,34783
17,16,34816
34,33,34883
37,37,34957
9,8,34974
9,7,34990
6,10,35006
26,27,35059
4,10,35073
17,17,35107
17,7,35131
58,67,35256
106,122,35484
89,86,35659
9,15,35683
21,20,35724
9,6,35739
12,22,35773
14,14,35801
11,1,35813
9,0,35822
27,30,35879
29,40,35948
12,5,35965
11,10,35986
15,7,36008
7,2,36017
52,38,36107
0,9,36116
22,35,36173
11,11,36195
8,2,36205
12,2,36219
6,8,36233
13,8,36254
7,9,36270
8,5,36283
8,13,36304
15,14,36333
21,20,36374
10,9,36393
10,4,36407
8,9,36424
11,2,36437
25,19,36481
17,18,36516
15,14,36545
7,14,36566
9,12,36587
33,35,36655
12,15,36682
15,18,36715
33,31,36779
3,9,36791
5,12,36808
11,1,36820
14,12,36846
27,22,36895
11,10,36916
2,10,36928
8,1,36937
20,9,36966
9,1,36976
48,42,37066
73,67,37206
16,17,37239
39,39,37317
29,24,37370
5,8,37383
3,8,37394
97,85,37576
3,9,37588
3,11,37602
5,7,37614
75,71,37760
124,121,38005
21,21,38047
4,7,38058
9,8,38075
13,9,38097
9,13,38119
55,54,38228
14,7,38249
25,19,38293
14,9,38316
10,0,38326
25,14,38365
2,10,38377
24,25,38426
3,11,38440
8,12,38460
20,21,38501
7,6,38514
17,18,38549
35,35,38619
13,10,38642
9,2,38653
9,2,38664
10,1,38675
31,34,38740
2,11,38753
5,13,38771
7,15,38793
8,5,38806
9,3,38818
13,11,38842
28,35,38905
8,3,38916
24,28,38968
80,80,39128
13,13,39154
11,12,39177
10,10,39197
6,11,39214
14,13,39241
27,31,39299
33,30,39362
20,13,39395
32,24,39451
9,0,39460
11,12,39483
13,13,39509
37,39,39585
8,11,39604
3,8,39615
15,8,39638
9,8,39655
22,22,39699
12,20,39731
11,9,39751
6,8,39765
6,11,39782
15,16,39813
10,10,39833
1,10,39844
15,13,39872
8,6,39886
8,3,39897
1,9,39907
15,22,39944
60,65,40069
38,46,40153
7,7,40167
10,5,40182
19,8,40209
22,15,40246
36,25,40307
13,13,40333
18,8,40359
23,24,40406
5,17,40428
1,10,40439
26,28,40493
18,17,40528
22,23,40573
12,13,40598
7,9,40614
14,19,40647
4,7,40658
19,9,40686
29,18,40733
35,23,40791
28,24,40843
37,47,40927
42,37,41006
15,16,41037
9,15,41061
10,11,41082
13,13,41108
27,26,41161
37,29,41227
14,14,41255
11,1,41267
7,7,41281
9,2,41292
22,27,41341
14,21,41376
8,6,41390
94,93,41577
9,6,41592
59,63,41714
64,60,41838
27,24,41889
15,7,41911
22,25,41958
18,19,41995
13,13,42021
71,74,42166
96,96,42358
4,9,42371
1,9,42381
5,9,42395
12,19,42426
4,10,42440
11,20,42471
10,8,42489
23,30,42542
1,10,42553
16,18,42587
50,52,42689
7,1,42697
3,9,42709
9,5,42723
13,11,42747
10,2,42759
37,35,42831
17,12,42860
11,3,42874
8,1,42883
55,38,42976
74,59,43109
5,12,43126
7,10,43143
104,101,43348
14,14,43376
11,10,43397
12,5,43414
31,27,43472
44,46,43562
8,18,43588
9,4,43601
8,0,43609
5,7,43621
8,2,43631
4,9,43644
8,8,43660
6,7,43673
7,8,43688
8,4,43700
49,35,43784
21,12,43817
9,0,43826
11,2,43839
16,16,43871
4,10,43885
33,32,43950
9,17,43976
13,13,44002
24,23,44049
11,10,44070
13,13,44096
13,15,44124
9,11,44144
14,15,44173
7,15,44195
0,9,44204
0,10,44214
8,16,44238
2,9,44249
6,14,44269
16,7,44292
51,36,44379
1,8,44388
2,11,44401
4,9,44414
13,12,44439
7,10,44456
8,14,44478
7,9,44494
7,15,44516
8,8,44532
7,8,44547
30,34,44611
0,9,44620
6,15,44641
8,8,44657
15,27,44699
5,15,44719
38,28,44785
14,14,44813
27,25,44865
11,11,44887
22,18,44927
4,12,44943
6,7,44956
8,3,44967
16,11,44994
19,19,45032
19,12,45063
8,3,45074
15,10,45099
7,6,45112
12,12,45136
9,1,45146
47,41,45234
78,79,45391
50,46,45487
52,51,45590
52,56,45698
17,15,45730
9,16,45755
7,15,45777
27,26,45830
4,11,45845
19,9,45873
64,59,45996
31,34,46061
30,20,46111
4,7,46122
12,6,46140
20,11,46171
18,6,46195
21,22,46238
13,5,46256
8,1,46265
26,20,46311
45,49,46405
43,47,46495
35,30,46560
16,16,46592
18,8,46618
56,53,46727
10,1,46738
17,6,46761
38,34,46833
3,11,46847
17,24,46888
17,17,46922
11,18,46951
8,2,46961
53,49,47063
33,23,47119
10,0,47129
7,3,47139
95,104,47338
40,38,47416
19,29,47464
7,13,47484
12,14,47510
55,47,47612
185,177,47974
38,35,48047
31,32,48110
13,6,48129
12,23,48164
8,6,48178
14,4,48196
14,6,48216
47,48,48311
53,40,48404
20,19,48443
10,1,48454
33,40,48527
12,16,48555
60,68,48683
89,101,48873
20,16,48909
4,13,48926
4,9,48939
1,10,48950
4,12,48966
20,12,48998
10,0,49008
9,1,49018
2,10,49030
1,10,49041
13,23,49077
14,19,49110
17,15,49142
26,27,49195
4,8,49207
14,20,49241
9,11,49261
4,13,49278
1,9,49288
12,10,49310
28,25,49363
47,50,49460
9,11,49480
21,22,49523
0,10,49533
7,10,49550
20,22,49592
6,9,49607
8,9,49624
19,19,49662
21,30,49713
29,32,49774
13,3,49790
13,13,49816
87,82,49985
7,8,50000
21,25,50046
27,31,50104
13,6,50123
8,1,50132
8,16,50156
145,156,50457
26,28,50511
26,19,50556
6,6,50568
52,38,50658
62,72,50792
26,31,50849
28,35,50912
10,1,50923
10,1,50934
23,26,50983
11,6,51000
29,24,51053
107,107,51267
56,58,51381
16,15,51412
8,18,51438
65,67,51570
24,23,51617
35,34,51686
43,45,51774
29,38,51841
0,10,51851
3,10,51864
1,9,51874
12,13,51899
0,9,51908
5,10,51923
10,8,51941
20,20,51981
18,15,52014
10,11,52035
10,18,52063
12,9,52084
11,6,52101
7,8,52116
28,27,52171
10,12,52193
35,34,52262
45,45,52352
20,21,52393
50,50,52493
10,1,52504
17,26,52547
3,10,52560
4,7,52571
14,15,52600
9,1,52610
11,12,52633
24,21,52678
110,124,52912
21,10,52943
10,0,52953
11,1,52965
16,28,53009
56,58,53123
28,29,53180
53,49,53282
11,13,53306
15,14,53335
19,19,53373
7,13,53393
15,21,53429
2,11,53442
11,11,53464
4,13,53481
18,13,53512
37,35,53584
13,6,53603
11,2,53616
23,15,53654
2,12,53668
45,51,53764
44,49,53857
33,28,53918
18,17,53953
40,30,54023
30,38,54091
16,19,54126
20,25,54171
21,19,54211
13,12,54236
21,18,54275
0,10,54285
14,14,54313
20,23,54356
12,12,54380
47,48,54475
47,49,54571
7,11,54589
5,6,54600
47,52,54699
64,69,54832
10,14,54856
1,8,54865
7,10,54882
9,15,54906
9,19,54934
43,43,55020
13,8,55041
8,17,55066
10,3,55079
1,8,55088
18,6,55112
22,15,55149
8,0,55157
27,23,55207
48,38,55293
39,39,55371
41,42,55454
15,16,55485
