<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000001ECE9A53F40>
[-5.         -5.55555725 -6.11111069]
[-5.         -5.55555725 -6.11111069]
[-5.         -5.37036896 -5.92592621]
[-5.         -5.37036896 -5.92592621]
[-5.         -5.         -7.40740585]
[-5.         -5.         -7.40740585]
[-5.         -5.         -7.40740585]
[-5.18518448 -5.37036896 -8.33333206]
[-5.         -5.         -8.88888931]
[-5.18518448 -5.37036896 -8.33333206]
[-5.         -5.55555725 -6.11111069]
[-5.         -5.55555725 -6.11111069]
[-5.         -5.55555725 -6.11111069]
[-5.         -5.55555725 -6.11111069]
[-5.         -5.         -6.85185242]
[-5.         -5.37036896 -8.70370483]
[-5.         -5.         -7.40740585]
[-5.         -5.         -7.40740585]
[-5.         -5.         -7.40740585]
[-5.         -5.         -6.11111069]
[-5.         -5.37036896 -6.48147964]
[-5.         -5.55555725 -6.11111069]
[-5.         -5.55555725 -6.11111069]
[-5.         -5.55555725 -6.11111069]
[-5.         -5.37036896 -5.92592621]
[-5.         -5.37036896 -8.14814758]
[-5.         -5.37036896 -8.14814758]
[-5.18518448 -5.37036896 -8.33333206]
[-5.         -5.         -7.40740585]
[-5.         -5.         -7.40740585]
[-5.18518448 -5.37036896 -8.33333206]
[-5.         -5.         -6.48147964]
[-5.         -5.55555725 -6.11111069]
[-5.         -5.55555725 -6.11111069]
[-5.         -5.55555725 -6.11111069]
[-5.         -5.55555725 -6.11111069]
[-5.         -5.37036896 -5.92592621]
[-5.         -5.37036896 -5.92592621]
[-5.         -5.         -7.40740585]
[-5.         -5.         -7.40740585]
[-5.         -5.         -7.40740585]
[-5.18518448 -5.37036896 -8.33333206]
[-5.18518448 -5.37036896 -8.33333206]
[-5.18518448 -5.37036896 -8.33333206]
[-5.         -5.55555725 -6.11111069]
[-5.         -5.55555725 -6.11111069]
[-5.         -5.55555725 -6.11111069]
[-5.         -5.55555725 -6.11111069]
[-5.         -5.         -6.85185242]
[-5.         -5.         -7.40740585]
[-5.         -5.         -7.40740585]
[-5.         -5.         -7.40740585]
[-5.         -5.         -7.40740585]
[-5.         -5.         -6.11111069]
[-5.         -5.37036896 -6.48147964]
