<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000001AE862C0DD0>
[ -46.66666412 -155.         -155.        ]
[ -71.87878418 -155.         -155.        ]
[-112.84848022 -155.         -155.        ]
[ -63.21212006 -155.         -155.        ]
[ -52.57575989 -155.         -155.        ]
[ -82.12121582 -155.         -155.        ]
[-129.78787231 -155.         -155.        ]
[-100.6363678 -155.        -155.       ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -39.1818161 -155.        -155.       ]
[ -25. -155. -155.]
[ -52.1818161 -155.        -155.       ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -93.93939209 -155.         -155.        ]
[ -82.90908813 -155.         -155.        ]
[ -88.03030396 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -70.69696808 -155.         -155.        ]
[ -25. -155. -155.]
[ -34.06060791 -155.         -155.        ]
[ -25. -155. -155.]
[ -30.90908813 -155.         -155.        ]
[-101.81817627 -155.         -155.        ]
[ -90.78787994 -155.         -155.        ]
[ -90.78787994 -155.         -155.        ]
[ -34.06060791 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -46.66666412 -155.         -155.        ]
[ -46.66666412 -155.         -155.        ]
[ -71.87878418 -155.         -155.        ]
[ -91.57575989 -155.         -155.        ]
[ -46.27272797 -155.         -155.        ]
[ -52.57575989 -155.         -155.        ]
[ -82.12121582 -155.         -155.        ]
[-129.78787231 -155.         -155.        ]
[-100.6363678 -155.        -155.       ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -45.48484802 -155.         -155.        ]
[ -25. -155. -155.]
[ -52.1818161 -155.        -155.       ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -93.93939209 -155.         -155.        ]
[ -82.90908813 -155.         -155.        ]
[ -88.03030396 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -70.69696808 -155.         -155.        ]
[ -25. -155. -155.]
[ -34.06060791 -155.         -155.        ]
[ -48.24242401 -155.         -155.        ]
[ -30.90908813 -155.         -155.        ]
[-101.81817627 -155.         -155.        ]
[ -90.78787994 -155.         -155.        ]
[ -90.78787994 -155.         -155.        ]
[ -34.06060791 -155.         -155.        ]
[ -25. -155. -155.]
[ -74.63636017 -155.         -155.        ]
[ -46.66666412 -155.         -155.        ]
[ -46.66666412 -155.         -155.        ]
[ -71.87878418 -155.         -155.        ]
[ -93.15151978 -155.         -155.        ]
[ -46.27272797 -155.         -155.        ]
[ -52.57575989 -155.         -155.        ]
[-124.66666412 -155.         -155.        ]
[-101.42424011 -155.         -155.        ]
[-100.6363678 -155.        -155.       ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -45.48484802 -155.         -155.        ]
[ -25. -155. -155.]
[ -56.51515198 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -93.93939209 -155.         -155.        ]
[ -82.90908813 -155.         -155.        ]
[ -88.03030396 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -97.48484802 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -48.24242401 -155.         -155.        ]
[ -30.90908813 -155.         -155.        ]
[-101.81817627 -155.         -155.        ]
[ -90.78787994 -155.         -155.        ]
[ -90.78787994 -155.         -155.        ]
[ -34.06060791 -155.         -155.        ]
[ -25. -155. -155.]
[ -74.63636017 -155.         -155.        ]
[ -46.66666412 -155.         -155.        ]
[ -50.21212006 -155.         -155.        ]
[ -71.87878418 -155.         -155.        ]
[ -28.15151215 -155.         -155.        ]
[ -46.27272797 -155.         -155.        ]
[ -52.57575989 -155.         -155.        ]
[-124.66666412 -155.         -155.        ]
[-100.6363678 -155.        -155.       ]
[-100.6363678 -155.        -155.       ]
[ -30.12121582 -155.         -155.        ]
[ -25. -155. -155.]
[ -45.48484802 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -93.93939209 -155.         -155.        ]
[ -82.90908813 -155.         -155.        ]
[ -88.03030396 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -49.03030396 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -48.24242401 -155.         -155.        ]
[ -25. -155. -155.]
[-101.81817627 -155.         -155.        ]
[ -90.78787994 -155.         -155.        ]
[ -90.78787994 -155.         -155.        ]
[ -34.06060791 -155.         -155.        ]
[ -25. -155. -155.]
[-103.78787994 -155.         -155.        ]
[ -46.66666412 -155.         -155.        ]
[ -50.21212006 -155.         -155.        ]
[-112.84848022 -155.         -155.        ]
[ -28.15151215 -155.         -155.        ]
[ -36.8181839 -155.        -155.       ]
[ -52.57575989 -155.         -155.        ]
[-124.66666412 -155.         -155.        ]
[-100.6363678 -155.        -155.       ]
[ -95.90908813 -155.         -155.        ]
[ -30.12121582 -155.         -155.        ]
[ -25. -155. -155.]
[ -45.48484802 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -88.42424011 -155.         -155.        ]
[ -82.12121582 -155.         -155.        ]
[ -82.90908813 -155.         -155.        ]
[ -88.03030396 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -48.24242401 -155.         -155.        ]
[ -25. -155. -155.]
[-101.81817627 -155.         -155.        ]
[ -90.78787994 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[-103.78787994 -155.         -155.        ]
[ -46.66666412 -155.         -155.        ]
[ -50.21212006 -155.         -155.        ]
[-112.84848022 -155.         -155.        ]
[ -28.15151215 -155.         -155.        ]
[ -36.8181839 -155.        -155.       ]
[ -30.12121582 -155.         -155.        ]
[ -90.39393616 -155.         -155.        ]
[-100.6363678 -155.        -155.       ]
[ -95.90908813 -155.         -155.        ]
[ -30.12121582 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -88.42424011 -155.         -155.        ]
[ -82.12121582 -155.         -155.        ]
[ -82.90908813 -155.         -155.        ]
[ -88.03030396 -155.         -155.        ]
[ -25. -155. -155.]
