<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000001AE85103BC0>
[-144. -175. -175.]
[-144. -175. -175.]
[-142.70832825 -175.         -175.        ]
[-142.70832825 -175.         -175.        ]
[-139.2638855 -175.        -175.       ]
[-139.2638855 -175.        -175.       ]
[-142.70832825 -175.         -175.        ]
[-144.43055725 -175.         -175.        ]
[-136.68055725 -175.         -175.        ]
[-144.43055725 -175.         -175.        ]
[-144. -175. -175.]
[-144. -175. -175.]
[-144. -175. -175.]
[-144. -175. -175.]
[-137.54167175 -175.         -175.        ]
[-137.1111145 -175.        -175.       ]
[-142.70832825 -175.         -175.        ]
[-142.70832825 -175.         -175.        ]
[-142.70832825 -175.         -175.        ]
[-142.70832825 -175.         -175.        ]
[-137.1111145 -175.        -175.       ]
[-144. -175. -175.]
[-144. -175. -175.]
[-144. -175. -175.]
[-142.70832825 -175.         -175.        ]
[-142.277771 -175.       -175.      ]
[-142.277771 -175.       -175.      ]
[-144.43055725 -175.         -175.        ]
[-142.70832825 -175.         -175.        ]
[-142.70832825 -175.         -175.        ]
[-144.43055725 -175.         -175.        ]
[-144. -175. -175.]
[-144. -175. -175.]
[-144. -175. -175.]
[-144. -175. -175.]
[-144. -175. -175.]
[-142.70832825 -175.         -175.        ]
[-142.70832825 -175.         -175.        ]
[-139.2638855 -175.        -175.       ]
[-142.70832825 -175.         -175.        ]
[-142.70832825 -175.         -175.        ]
[-144.43055725 -175.         -175.        ]
[-144.43055725 -175.         -175.        ]
[-144.43055725 -175.         -175.        ]
[-144. -175. -175.]
[-144. -175. -175.]
[-144. -175. -175.]
[-144. -175. -175.]
[-137.54167175 -175.         -175.        ]
[-142.70832825 -175.         -175.        ]
[-142.70832825 -175.         -175.        ]
[-142.70832825 -175.         -175.        ]
[-142.70832825 -175.         -175.        ]
[-142.70832825 -175.         -175.        ]
[-137.1111145 -175.        -175.       ]
[-144. -175. -175.]
[-144. -175. -175.]
[-144. -175. -175.]
[-142.70832825 -175.         -175.        ]
[-142.277771 -175.       -175.      ]
[-142.277771 -175.       -175.      ]
[-144.43055725 -175.         -175.        ]
[-142.70832825 -175.         -175.        ]
[-142.70832825 -175.         -175.        ]
[-144.43055725 -175.         -175.        ]
[-144. -175. -175.]
[-144. -175. -175.]
[-144. -175. -175.]
[-144. -175. -175.]
[-142.70832825 -175.         -175.        ]
[-142.70832825 -175.         -175.        ]
[-142.70832825 -175.         -175.        ]
[-139.2638855 -175.        -175.       ]
[-142.70832825 -175.         -175.        ]
[-142.70832825 -175.         -175.        ]
[-144.43055725 -175.         -175.        ]
[-144.43055725 -175.         -175.        ]
[-144.43055725 -175.         -175.        ]
[-144. -175. -175.]
[-144. -175. -175.]
[-144. -175. -175.]
[-138.402771 -175.       -175.      ]
[-137.54167175 -175.         -175.        ]
[-142.70832825 -175.         -175.        ]
[-142.70832825 -175.         -175.        ]
[-142.70832825 -175.         -175.        ]
[-142.70832825 -175.         -175.        ]
[-144. -175. -175.]
[-137.1111145 -175.        -175.       ]
[-144. -175. -175.]
[-144. -175. -175.]
[-144. -175. -175.]
[-142.70832825 -175.         -175.        ]
[-142.277771 -175.       -175.      ]
[-142.277771 -175.       -175.      ]
[-144.43055725 -175.         -175.        ]
[-142.70832825 -175.         -175.        ]
[-142.70832825 -175.         -175.        ]
[-144.43055725 -175.         -175.        ]
[-144. -175. -175.]
[-144. -175. -175.]
[-144. -175. -175.]
[-144. -175. -175.]
[-142.70832825 -175.         -175.        ]
[-142.70832825 -175.         -175.        ]
[-142.70832825 -175.         -175.        ]
[-139.2638855 -175.        -175.       ]
[-142.70832825 -175.         -175.        ]
[-142.70832825 -175.         -175.        ]
[-144.43055725 -175.         -175.        ]
[-144.43055725 -175.         -175.        ]
[-144.43055725 -175.         -175.        ]
[-144. -175. -175.]
[-144. -175. -175.]
[-144. -175. -175.]
[-138.402771 -175.       -175.      ]
[-137.54167175 -175.         -175.        ]
[-142.70832825 -175.         -175.        ]
[-142.70832825 -175.         -175.        ]
[-142.70832825 -175.         -175.        ]
[-142.70832825 -175.         -175.        ]
[-144. -175. -175.]
[-137.1111145 -175.        -175.       ]
[-144. -175. -175.]
[-144. -175. -175.]
[-144. -175. -175.]
[-142.70832825 -175.         -175.        ]
[-142.277771 -175.       -175.      ]
[-142.277771 -175.       -175.      ]
