<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000001AE862C0DD0>
[ -25. -155. -155.]
[ -46.27272797 -155.         -155.        ]
[ -99.45454407 -155.         -155.        ]
[ -45.87878418 -155.         -155.        ]
[ -29.72727203 -155.         -155.        ]
[ -69.12121582 -155.         -155.        ]
[-134.12121582 -155.         -155.        ]
[ -96.69696808 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -27.36363983 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -82.51515198 -155.         -155.        ]
[ -69.51515198 -155.         -155.        ]
[ -73.06060791 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -43.12121582 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -98.66667175 -155.         -155.        ]
[ -86.45454407 -155.         -155.        ]
[ -86.45454407 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -46.27272797 -155.         -155.        ]
[ -74.63636017 -155.         -155.        ]
[ -25. -155. -155.]
[ -29.72727203 -155.         -155.        ]
[ -69.12121582 -155.         -155.        ]
[-134.12121582 -155.         -155.        ]
[ -96.69696808 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -27.36363983 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -82.51515198 -155.         -155.        ]
[ -69.51515198 -155.         -155.        ]
[ -73.06060791 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -43.12121582 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -98.66667175 -155.         -155.        ]
[ -86.45454407 -155.         -155.        ]
[ -86.45454407 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -51.78787994 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -46.27272797 -155.         -155.        ]
[ -77. -155. -155.]
[ -25. -155. -155.]
[ -29.72727203 -155.         -155.        ]
[-131.3636322 -155.        -155.       ]
[ -96.30303192 -155.         -155.        ]
[ -96.69696808 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -30.51515198 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -82.51515198 -155.         -155.        ]
[ -69.51515198 -155.         -155.        ]
[ -73.06060791 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -74.24242401 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -98.66667175 -155.         -155.        ]
[ -86.45454407 -155.         -155.        ]
[ -86.45454407 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -51.78787994 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -46.27272797 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -29.72727203 -155.         -155.        ]
[-131.3636322 -155.        -155.       ]
[ -96.69696808 -155.         -155.        ]
[ -96.69696808 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -82.51515198 -155.         -155.        ]
[ -69.51515198 -155.         -155.        ]
[ -73.06060791 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -98.66667175 -155.         -155.        ]
[ -86.45454407 -155.         -155.        ]
[ -86.45454407 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -85.27272797 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -99.45454407 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -29.72727203 -155.         -155.        ]
[-131.3636322 -155.        -155.       ]
[ -96.69696808 -155.         -155.        ]
[ -88.8181839 -155.        -155.       ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -73.45454407 -155.         -155.        ]
[ -69.12121582 -155.         -155.        ]
[ -69.51515198 -155.         -155.        ]
[ -73.06060791 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -98.66667175 -155.         -155.        ]
[ -86.45454407 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -85.27272797 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -99.45454407 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -85.27272797 -155.         -155.        ]
[ -96.69696808 -155.         -155.        ]
[ -88.8181839 -155.        -155.       ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -73.45454407 -155.         -155.        ]
[ -69.12121582 -155.         -155.        ]
[ -69.51515198 -155.         -155.        ]
[ -73.06060791 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -98.66667175 -155.         -155.        ]
[-130.18182373 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -85.27272797 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -99.45454407 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -85.27272797 -155.         -155.        ]
[ -96.69696808 -155.         -155.        ]
[ -88.8181839 -155.        -155.       ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -73.45454407 -155.         -155.        ]
[ -69.12121582 -155.         -155.        ]
[ -69.51515198 -155.         -155.        ]
[ -73.06060791 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -98.66667175 -155.         -155.        ]
[-130.18182373 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -38.78787994 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -99.45454407 -155.         -155.        ]
[ -25. -155. -155.]
[ -29.72727203 -155.         -155.        ]
[ -91.96969604 -155.         -155.        ]
[ -85.27272797 -155.         -155.        ]
[ -96.69696808 -155.         -155.        ]
[ -88.8181839 -155.        -155.       ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -62.03030396 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -73.45454407 -155.         -155.        ]
[ -69.12121582 -155.         -155.        ]
[ -82.51515198 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -98.66667175 -155.         -155.        ]
[-130.18182373 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -38.78787994 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -74.63636017 -155.         -155.        ]
[ -25. -155. -155.]
[ -29.72727203 -155.         -155.        ]
[ -85.27272797 -155.         -155.        ]
[ -85.27272797 -155.         -155.        ]
[ -96.69696808 -155.         -155.        ]
[ -88.8181839 -155.        -155.       ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -73.45454407 -155.         -155.        ]
[ -69.12121582 -155.         -155.        ]
[ -82.51515198 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -27.36363983 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[-100.6363678 -155.        -155.       ]
[ -69.51515198 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -38.78787994 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -29.72727203 -155.         -155.        ]
[ -85.27272797 -155.         -155.        ]
[ -85.27272797 -155.         -155.        ]
[ -96.69696808 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -46.27272797 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -73.45454407 -155.         -155.        ]
[ -69.12121582 -155.         -155.        ]
[ -82.51515198 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -27.36363983 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[-100.6363678 -155.        -155.       ]
[ -69.51515198 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -55.33333588 -155.         -155.        ]
[ -38.78787994 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -29.72727203 -155.         -155.        ]
[ -85.27272797 -155.         -155.        ]
[ -85.27272797 -155.         -155.        ]
[ -96.69696808 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -46.27272797 -155.         -155.        ]
[ -46.27272797 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -73.45454407 -155.         -155.        ]
[ -69.12121582 -155.         -155.        ]
[ -82.51515198 -155.         -155.        ]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
[ -25. -155. -155.]
