actor_1,actor_2
46.92200469970703, 48.81615447998047
47.92478942871094, 48.481895446777344
48.14763259887695, 48.59331512451172
45.584957122802734, 46.476322174072266
45.584957122802734, 45.696380615234375
45.80780029296875, 45.362117767333984
44.02507019042969, 43.6908073425293
44.02507019042969, 43.6908073425293
43.80222702026367, 44.35932922363281
44.02507019042969, 43.6908073425293
43.80222702026367, 44.35932922363281
44.02507019042969, 43.6908073425293
43.80222702026367, 44.35932922363281
44.02507019042969, 43.6908073425293
