<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000002423775FC30>
[-40.16174316 -20.40084457 -36.64556885]
[-40.16174316 -20.40084457 -36.64556885]
[-39.31786346 -18.36146164 -36.92686462]
[-39.31786346 -18.36146164 -36.92686462]
[-39.31786346 -18.36146164 -36.92686462]
[-39.31786346 -18.36146164 -36.92686462]
[-45.99859238 -22.36989975 -30.2461319 ]
[-45.99859238 -22.36989975 -30.2461319 ]
[-45.99859238 -22.36989975 -30.2461319 ]
[-46.701828   -12.94655228 -29.7538681 ]
[-46.701828   -12.94655228 -29.7538681 ]
[-46.701828   -12.94655228 -29.7538681 ]
[-42.34177399 -13.93108368 -35.7313652 ]
[-42.34177399 -13.93108368 -35.7313652 ]
[-42.34177399 -13.93108368 -35.7313652 ]
[-41.35724258 -20.54149246 -35.94233704]
[-41.35724258 -20.54149246 -35.94233704]
[-41.35724258 -20.54149246 -35.94233704]
[-45.99859238 -22.36989975 -30.2461319 ]
[-44.73277283 -23.70604706 -31.65260124]
[-44.73277283 -23.70604706 -31.65260124]
[-44.73277283 -23.70604706 -31.65260124]
[-45.29535675 -23.21378326 -31.0900135 ]
[-40.16174316 -20.40084457 -36.64556885]
[-40.16174316 -20.40084457 -36.64556885]
[-42.34177399 -13.93108368 -35.7313652 ]
[-41.35724258 -20.54149246 -35.94233704]
[-41.35724258 -20.54149246 -35.94233704]
[-45.99859238 -22.36989975 -30.2461319 ]
[-45.99859238 -22.36989975 -30.2461319 ]
[-46.701828   -12.94655228 -29.7538681 ]
[-46.701828   -12.94655228 -29.7538681 ]
[-45.29535675 -23.21378326 -31.0900135 ]
[-40.16174316 -20.40084457 -36.64556885]
[-40.16174316 -20.40084457 -36.64556885]
[-40.16174316 -20.40084457 -36.64556885]
[-39.31786346 -18.36146164 -36.92686462]
[-39.31786346 -18.36146164 -36.92686462]
[-39.31786346 -18.36146164 -36.92686462]
[-45.99859238 -22.36989975 -30.2461319 ]
[-45.99859238 -22.36989975 -30.2461319 ]
[-45.99859238 -22.36989975 -30.2461319 ]
[-46.701828   -12.94655228 -29.7538681 ]
[-46.701828   -12.94655228 -29.7538681 ]
[-46.701828   -12.94655228 -29.7538681 ]
[-42.34177399 -13.93108368 -35.7313652 ]
[-42.34177399 -13.93108368 -35.7313652 ]
[-42.34177399 -13.93108368 -35.7313652 ]
[-42.34177399 -13.93108368 -35.7313652 ]
[-41.35724258 -20.54149246 -35.94233704]
[-41.35724258 -20.54149246 -35.94233704]
[-41.35724258 -20.54149246 -35.94233704]
[-44.73277283 -23.70604706 -31.65260124]
[-44.73277283 -23.70604706 -31.65260124]
[-44.73277283 -23.70604706 -31.65260124]
[-45.29535675 -23.21378326 -31.0900135 ]
[-45.29535675 -23.21378326 -31.0900135 ]
[-40.16174316 -20.40084457 -36.64556885]
[-40.16174316 -20.40084457 -36.64556885]
[-42.34177399 -13.93108368 -35.7313652 ]
[-41.35724258 -20.54149246 -35.94233704]
[-41.35724258 -20.54149246 -35.94233704]
[-45.99859238 -22.36989975 -30.2461319 ]
[-46.701828   -12.94655228 -29.7538681 ]
[-46.701828   -12.94655228 -29.7538681 ]
[-46.701828   -12.94655228 -29.7538681 ]
[-40.16174316 -20.40084457 -36.64556885]
[-40.16174316 -20.40084457 -36.64556885]
[-40.16174316 -20.40084457 -36.64556885]
[-39.31786346 -18.36146164 -36.92686462]
[-39.31786346 -18.36146164 -36.92686462]
[-39.31786346 -18.36146164 -36.92686462]
[-39.31786346 -18.36146164 -36.92686462]
[-45.99859238 -22.36989975 -30.2461319 ]
[-45.99859238 -22.36989975 -30.2461319 ]
