tm1,tm2,steps
6,10,10655
10,5,10670
9,2,10681
1,9,10691
3,9,10703
9,12,10724
4,9,10737
5,12,10754
8,16,10778
3,11,10792
6,10,10808
3,8,10819
2,9,10830
3,9,10842
3,9,10854
10,2,10866
9,16,10891
2,9,10902
7,16,10925
3,8,10936
13,16,10965
3,10,10978
3,9,10990
3,6,10999
14,13,11026
10,4,11040
10,10,11060
16,15,11091
4,9,11104
17,19,11140
22,22,11184
5,7,11196
7,13,11216
22,23,11261
14,19,11294
18,14,11326
17,17,11360
24,19,11403
10,12,11425
16,16,11457
5,7,11469
36,25,11530
11,9,11550
18,17,11585
15,14,11614
19,22,11655
7,2,11664
37,35,11736
22,20,11778
9,9,11796
19,19,11834
15,16,11865
21,19,11905
14,12,11931
28,28,11987
14,15,12016
27,32,12075
5,8,12088
24,23,12135
14,14,12163
20,18,12201
3,11,12215
10,8,12233
18,16,12267
7,14,12288
14,12,12314
0,9,12323
6,7,12336
10,8,12354
3,9,12366
5,9,12380
7,11,12398
3,8,12409
8,4,12421
8,13,12442
8,6,12456
3,9,12468
3,9,12480
5,12,12497
4,9,12510
3,9,12522
15,9,12546
4,9,12559
16,10,12585
7,10,12602
13,8,12623
6,15,12644
14,8,12666
5,12,12683
8,12,12703
10,10,12723
9,11,12743
17,19,12779
17,11,12807
9,10,12826
11,4,12841
3,11,12855
6,12,12873
16,8,12897
3,7,12907
20,20,12947
15,15,12977
10,13,13000
7,10,13017
19,18,13054
14,15,13083
16,16,13115
20,22,13157
27,27,13211
31,29,13271
12,13,13296
40,39,13375
20,22,13417
16,10,13443
13,13,13469
53,54,13576
9,6,13591
21,20,13632
25,25,13682
62,54,13798
9,9,13816
10,13,13839
7,9,13855
16,16,13887
12,11,13910
24,22,13956
22,26,14004
18,17,14039
6,8,14053
10,9,14072
18,18,14108
16,22,14146
7,14,14167
5,13,14185
12,6,14203
12,21,14236
16,11,14263
2,9,14274
11,18,14303
11,16,14330
11,10,14351
4,10,14365
10,9,14384
16,17,14417
15,16,14448
15,14,14477
11,3,14491
10,12,14513
13,10,14536
4,13,14553
15,15,14583
14,18,14615
9,11,14635
2,8,14645
11,9,14665
9,9,14683
10,11,14704
17,16,14737
12,14,14763
15,16,14794
26,30,14850
19,20,14889
39,34,14962
15,17,14994
12,19,15025
10,11,15046
9,14,15069
10,12,15091
13,15,15119
9,9,15137
10,10,15157
28,27,15212
20,18,15250
14,16,15280
21,21,15322
26,25,15373
12,11,15396
14,14,15424
9,16,15449
8,17,15474
3,7,15484
1,8,15493
3,8,15504
10,16,15530
10,8,15548
11,14,15573
11,10,15594
12,10,15616
16,17,15649
3,11,15663
11,11,15685
2,9,15696
18,20,15734
13,14,15761
10,12,15783
5,8,15796
7,9,15812
33,27,15872
11,9,15892
16,16,15924
3,10,15937
10,10,15957
7,8,15972
9,9,15990
4,10,16004
12,21,16037
16,11,16064
2,8,16074
13,20,16107
13,14,16134
10,18,16162
4,10,16176
11,11,16198
18,15,16231
16,5,16252
19,21,16292
17,17,16326
6,14,16346
29,20,16395
10,10,16415
21,15,16451
29,21,16501
22,21,16544
25,27,16596
14,13,16623
9,9,16641
7,4,16652
10,12,16674
8,4,16686
20,17,16723
14,17,16754
26,33,16813
10,12,16835
14,14,16863
17,17,16897
12,4,16913
12,15,16940
31,24,16995
8,9,17012
7,11,17030
10,10,17050
35,36,17121
23,22,17166
21,14,17201
7,11,17219
4,9,17232
9,17,17258
17,17,17292
11,10,17313
13,12,17338
21,26,17385
45,46,17476
33,32,17541
12,13,17566
15,20,17601
10,8,17619
18,19,17656
30,27,17713
25,27,17765
8,9,17782
11,8,17801
14,14,17829
12,11,17852
15,15,17882
13,15,17910
11,13,17934
10,12,17956
11,10,17977
14,18,18009
27,24,18060
13,11,18084
8,10,18102
12,14,18128
2,11,18141
16,16,18173
8,9,18190
20,22,18232
21,13,18266
27,30,18323
12,13,18348
5,11,18364
32,31,18427
11,18,18456
4,11,18471
70,67,18608
16,18,18642
13,2,18657
38,35,18730
31,42,18803
8,11,18822
13,17,18852
6,12,18870
49,52,18971
22,23,19016
20,21,19057
19,20,19096
18,21,19135
11,13,19159
13,12,19184
28,29,19241
14,21,19276
2,8,19286
11,7,19304
13,14,19331
15,16,19362
6,7,19375
12,7,19394
13,12,19419
6,10,19435
18,17,19470
10,7,19487
9,7,19503
36,35,19574
14,8,19596
9,14,19619
18,6,19643
39,35,19717
27,36,19780
14,15,19809
12,11,19832
11,15,19858
9,2,19869
10,11,19890
5,13,19908
14,26,19948
12,12,19972
37,38,20047
38,35,20120
55,61,20236
14,9,20259
58,50,20367
24,24,20415
10,16,20441
11,11,20463
34,33,20530
17,17,20564
9,4,20577
17,20,20614
37,37,20688
29,42,20759
28,23,20810
43,41,20894
17,26,20937
27,26,20990
26,27,21043
16,15,21074
50,50,21174
19,21,21214
45,45,21304
68,67,21439
25,25,21489
11,10,21510
10,12,21532
16,16,21564
16,14,21594
10,11,21615
18,18,21651
10,12,21673
11,14,21698
12,13,21723
13,7,21743
4,6,21753
18,19,21790
11,10,21811
9,3,21823
2,7,21832
16,9,21857
8,6,21871
38,34,21943
27,26,21996
16,10,22022
8,19,22049
13,14,22076
155,169,22400
19,18,22437
12,10,22459
42,44,22545
12,11,22568
20,19,22607
27,24,22658
12,11,22681
19,19,22719
12,14,22745
10,6,22761
8,8,22777
13,12,22802
15,15,22832
27,27,22886
2,9,22897
5,7,22909
7,9,22925
13,11,22949
18,24,22991
1,10,23002
18,17,23037
7,9,23053
10,12,23075
6,9,23090
5,8,23103
15,13,23131
6,9,23146
3,10,23159
6,10,23175
8,10,23193
6,13,23212
9,7,23228
3,10,23241
15,16,23272
9,15,23296
4,9,23309
17,22,23348
10,15,23373
14,16,23403
21,13,23437
